timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
273391737,273391065,0.0,-0.0,-0.0,0.60745126,0.0,0.0,0.0,0.0
273395635,273395072,0.0,-0.0,-0.0,0.60745126,0.0,0.0,0.0,0.0
273399622,273399083,0.0,-0.0,-0.0,0.60745126,0.0,0.0,0.0,0.0
273403794,273403074,0.0,-0.0,-0.0,0.6079664,0.0,0.0,0.0,0.0
273407572,273407104,0.0,-0.0,-0.0,0.6079664,0.0,0.0,0.0,0.0
273411611,273411091,0.0,-0.0,-0.0,0.6079664,0.0,0.0,0.0,0.0
273415891,273415071,0.0,-0.0,-0.0,0.6079664,0.0,0.0,0.0,0.0
273419596,273419065,0.0,-0.0,-0.0,0.6079664,0.0,0.0,0.0,0.0
273423570,273423069,0.0,-0.0,-0.0,0.6079664,0.0,0.0,0.0,0.0
273427811,273427077,0.0,-0.0,-0.0,0.60845345,0.0,0.0,0.0,0.0
273431569,273431076,0.0,-0.0,-0.0,0.60845345,0.0,0.0,0.0,0.0
273435618,273435064,0.0,-0.0,-0.0,0.60845345,0.0,0.0,0.0,0.0
273439756,273439064,0.0,-0.0,-0.0,0.60845345,0.0,0.0,0.0,0.0
273443656,273443093,0.0,-0.0,-0.0,0.60845345,0.0,0.0,0.0,0.0
273447644,273447107,0.0,-0.0,-0.0,0.60845345,0.0,0.0,0.0,0.0
273451647,273451065,0.0,-0.0,-0.0,0.60828364,0.0,0.0,0.0,0.0
273455652,273455066,0.0,-0.0,-0.0,0.60828364,0.0,0.0,0.0,0.0
273459624,273459065,0.0,-0.0,-0.0,0.60828364,0.0,0.0,0.0,0.0
273463933,273463097,0.0,-0.0,-0.0,0.60828364,0.0,0.0,0.0,0.0
273467621,273467107,0.0,-0.0,-0.0,0.60828364,0.0,0.0,0.0,0.0
273471594,273471069,0.0,-0.0,-0.0,0.60787666,0.0,0.0,0.0,0.0
273475764,273475064,0.0,-0.0,-0.0,0.60787666,0.0,0.0,0.0,0.0
273479750,273479066,0.0,-0.0,-0.0,0.60787666,0.0,0.0,0.0,0.0
273483621,273483092,0.0,-0.0,-0.0,0.60787666,0.0,0.0,0.0,0.0
273487838,273487111,0.0,-0.0,-0.0,0.60787666,0.0,0.0,0.0,0.0
273491572,273491065,0.0,-0.0,-0.0,0.60787666,0.0,0.0,0.0,0.0
273495761,273495136,0.0,-0.0,-0.0,0.6080084,0.0,0.0,0.0,0.0
273499786,273499064,0.0,-0.0,-0.0,0.6080084,0.0,0.0,0.0,0.0
273503751,273503093,0.0,-0.0,-0.0,0.6080084,0.0,0.0,0.0,0.0
273507562,273507079,0.0,-0.0,-0.0,0.6080084,0.0,0.0,0.0,0.0
273511743,273511064,0.0,-0.0,-0.0,0.6080084,0.0,0.0,0.0,0.0
273515575,273515115,0.0,-0.0,-0.0,0.6083856,0.0,0.0,0.0,0.0
273519747,273519083,0.0,-0.0,-0.0,0.6083856,0.0,0.0,0.0,0.0
273523805,273523091,0.0,-0.0,-0.0,0.6083856,0.0,0.0,0.0,0.0
273527794,273527066,0.0,-0.0,-0.0,0.6083856,0.0,0.0,0.0,0.0
273531569,273531064,0.0,-0.0,-0.0,0.6083856,0.0,0.0,0.0,0.0
273535798,273535089,0.0,-0.0,-0.0,0.6083856,0.0,0.0,0.0,0.0
273539627,273539071,0.0,-0.0,-0.0,0.6083856,0.0,0.0,0.0,0.0
273543653,273543096,0.0,-0.0,-0.0,0.6082504,0.0,0.0,0.0,0.0
273547772,273547065,0.0,-0.0,-0.0,0.6082504,0.0,0.0,0.0,0.0
273551821,273551066,0.0,-0.0,-0.0,0.6082504,0.0,0.0,0.0,0.0
273554761,273554315,0.0,-0.0,-0.0,0.6082504,0.0,0.0,0.0,0.0
273558993,273558331,0.0,-0.0,-0.0,0.6082504,0.0,0.0,0.0,0.0
273562820,273562302,0.0,-0.0,-0.0,0.6082504,0.0,0.0,0.0,0.0
273566816,273566265,0.0,-0.0,-0.0,0.6078777,0.0,0.0,0.0,0.0
273570863,273570265,0.0,-0.0,-0.0,0.6078777,0.0,0.0,0.0,0.0
273574772,273574283,0.0,-0.0,-0.0,0.6078777,0.0,0.0,0.0,0.0
273578796,273578296,0.0,-0.0,-0.0,0.6078777,0.0,0.0,0.0,0.0
273582959,273582300,0.0,-0.0,0.0,0.6078777,0.0,0.0,0.0,0.0
273586841,273586266,0.0,-0.0,-0.0,0.6078777,0.0,0.0,0.0,0.0
273590804,273590271,0.0,-0.0,-0.0,0.60801524,0.0,0.0,0.0,0.0
273594952,273594265,0.0,-0.0,-0.0,0.60801524,0.0,0.0,0.0,0.0
273598774,273598296,0.0,-0.0,-0.0,0.60801524,0.0,0.0,0.0,0.0
273602723,273602266,0.0,-0.0,-0.0,0.60801524,0.0,0.0,0.0,0.0
273606933,273606265,0.0,-0.0,-0.0,0.60801524,0.0,0.0,0.0,0.0
273610817,273610272,0.0,-0.0,-0.0,0.60801524,0.0,0.0,0.0,0.0
273614834,273614264,0.0,-0.0,-0.0,0.608388,0.0,0.0,0.0,0.0
273618996,273618306,0.0,-0.0,-0.0,0.608388,0.0,0.0,0.0,0.0
273622760,273622302,0.0,-0.0,-0.0,0.608388,0.0,0.0,0.0,0.0
273626819,273626264,0.0,-0.0,-0.0,0.608388,0.0,0.0,0.0,0.0
273630953,273630271,0.0,-0.0,-0.0,0.608388,0.0,0.0,0.0,0.0
273634808,273634265,0.0,-0.0,-0.0,0.608388,0.0,0.0,0.0,0.0
273638801,273638296,0.0,-0.0,-0.0,0.60849875,0.0,0.0,0.0,0.0
273642978,273642305,0.0,-0.0,-0.0,0.60849875,0.0,0.0,0.0,0.0
273646789,273646291,0.0,-0.0,-0.0,0.60849875,0.0,0.0,0.0,0.0
273650791,273650264,0.0,-0.0,-0.0,0.60849875,0.0,0.0,0.0,0.0
273654956,273654265,0.0,-0.0,-0.0,0.60849875,0.0,0.0,0.0,0.0
273658849,273658306,0.0,-0.0,-0.0,0.60849875,0.0,0.0,0.0,0.0
273662770,273662286,0.0,-0.0,-0.0,0.60846674,0.0,0.0,0.0,0.0
273666860,273666273,0.0,-0.0,-0.0,0.60846674,0.0,0.0,0.0,0.0
273670818,273670280,0.0,-0.0,-0.0,0.60846674,0.0,0.0,0.0,0.0
273674808,273674265,0.0,-0.0,-0.0,0.60846674,0.0,0.0,0.0,0.0
273678999,273678296,0.0,-0.0,-0.0,0.60846674,0.0,0.0,0.0,0.0
273682776,273682320,0.0,-0.0,-0.0,0.60818434,0.0,0.0,0.0,0.0
273686773,273686273,0.0,-0.0,-0.0,0.60818434,0.0,0.0,0.0,0.0
273690948,273690265,0.0,-0.0,-0.0,0.60818434,0.0,0.0,0.0,0.0
273694804,273694265,0.0,-0.0,-0.0,0.60818434,0.0,0.0,0.0,0.0
273698862,273698296,0.0,-0.0,-0.0,0.60818434,0.0,0.0,0.0,0.0
273702850,273702283,0.0,-0.0,-0.0,0.60818434,0.0,0.0,0.0,0.0
273706782,273706264,0.0,-0.0,-0.0,0.60818434,0.0,0.0,0.0,0.0
273710835,273710265,0.0,-0.0,-0.0,0.6078373,0.0,0.0,0.0,0.0
273714980,273714264,0.0,-0.0,-0.0,0.6078373,0.0,0.0,0.0,0.0
273718844,273718296,0.0,-0.0,-0.0,0.6078373,0.0,0.0,0.0,0.0
273723052,273722306,0.0,-0.0,-0.0,0.6078373,0.0,0.0,0.0,0.0
273726946,273726279,0.0,-0.0,-0.0,0.6078373,0.0,0.0,0.0,0.0
273730850,273730327,0.0,-0.0,-0.0,0.60801333,0.0,0.0,0.0,0.0
273734956,273734267,0.0,-0.0,-0.0,0.60801333,0.0,0.0,0.0,0.0
273738853,273738296,0.0,-0.0,-0.0,0.60801333,0.0,0.0,0.0,0.0
273742758,273742265,0.0,-0.0,-0.0,0.60801333,0.0,0.0,0.0,0.0
273746852,273746265,0.0,-0.0,-0.0,0.60801333,0.0,0.0,0.0,0.0
273750794,273750310,0.0,-0.0,-0.0,0.60801333,0.0,0.0,0.0,0.0
273754846,273754271,0.0,-0.0,-0.0,0.60839516,0.0,0.0,0.0,0.0
273758979,273758307,0.0,-0.0,-0.0,0.60839516,0.0,0.0,0.0,0.0
273762819,273762265,0.0,-0.0,-0.0,0.60839516,0.0,0.0,0.0,0.0
273766805,273766265,0.0,-0.0,-0.0,0.60839516,0.0,0.0,0.0,0.0
273770892,273770314,0.0,-0.0,-0.0,0.60839516,0.0,0.0,0.0,0.0
