timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
274643225,-1.3287146,-1.3415201,18.84,1.0
274655089,-1.3286946,-1.3415744,18.855,1.0
274667499,-1.3283206,-1.3411598,18.865,1.0
274678984,-1.3277625,-1.3405504,18.845,1.0
274691263,-1.3271699,-1.339992,18.845,1.0
274702694,-1.3264644,-1.3392779,18.85,1.0
274715218,-1.3258202,-1.338721,18.885,1.0
274726868,-1.3251537,-1.3378875,18.814999,1.0
274739228,-1.3251473,-1.3379613,18.85,1.0
274750980,-1.3255111,-1.3384535,18.89,1.0
274764104,-1.3256631,-1.3385061,18.875,1.0
274775498,-1.3256508,-1.3384595,18.859999,1.0
274786485,-1.3254604,-1.3382317,18.83,1.0
274797930,-1.3251537,-1.3379009,18.814999,1.0
274809513,-1.3249512,-1.3378731,18.895,1.0
274820079,-1.3244252,-1.3372505,18.855,1.0
274833333,-1.3240154,-1.3368938,18.88,1.0
274844984,1.3243015,1.3370863,18.835,1.0
274857507,1.3247774,1.3375752,18.83,1.0
274868815,1.3252127,1.3380034,18.824999,1.0
274881499,1.3256774,1.3385214,18.855,1.0
274892845,1.3261164,1.3390238,18.875,1.0
274906721,1.3261994,1.3390797,18.859999,1.0
274917927,1.3261334,1.3390476,18.875,1.0
274932887,1.326044,1.3388945,18.865,1.0
274945657,1.3260685,1.3389144,18.859999,1.0
274956902,1.3261516,1.3390096,18.865,1.0
274969665,1.3261856,1.3389752,18.835,1.0
274981107,1.3263935,1.339272,18.869999,1.0
274993611,1.3262491,1.3390787,18.855,1.0
275004997,1.3258162,1.3387024,18.869999,1.0
275017595,1.3249671,1.3377764,18.84,1.0
275028845,1.3242267,1.3370355,18.84,1.0
275041593,-1.3240746,-1.336923,18.855,1.0
275052794,-1.3242925,-1.3371248,18.85,1.0
275065634,-1.3243448,-1.3371775,18.85,1.0
275076159,-1.3242522,-1.3370817,18.875,1.0
275088079,-1.324026,-1.3368227,18.85,1.0
275100838,1.3241048,1.3369876,18.869999,1.0
275111309,1.3244138,1.3372883,18.865,1.0
275122136,1.3246919,1.3374985,18.84,1.0
275135323,1.3251166,1.3379949,18.855,1.0
275145927,1.3254921,1.3383951,18.869999,1.0
275158164,1.3257537,1.3385789,18.835,1.0
275169358,1.3261036,1.338963,18.859999,1.0
275180707,1.3263272,1.3391182,18.835,1.0
275192019,1.326663,1.3395299,18.855,1.0
275204707,1.3269188,1.339811,18.865,1.0
275216037,1.3268145,1.3396285,18.84,1.0
275228843,1.3264185,1.3392913,18.85,1.0
275241112,1.3256704,1.3385619,18.869999,1.0
275252449,1.3245426,1.3372858,18.81,1.0
275263416,-1.324354,-1.3372062,18.869999,1.0
275276071,-1.3252296,-1.3379999,18.845,1.0
275288012,-1.3258238,-1.3386148,18.84,1.0
275300817,-1.3261008,-1.338906,18.845,1.0
