timestamp,vtol_in_rw_mode,vtol_in_trans_mode,in_transition_to_fw,vtol_transition_failsafe,fw_permanent_stab
3376030,1,1,1,0,0
3551290,0,0,0,0,0
8439587,0,0,0,0,0
8641822,0,0,0,0,0
8846015,0,0,0,0,0
9045152,0,0,0,0,0
9248244,0,0,0,0,0
9448193,0,0,0,0,0
9651442,0,0,0,0,0
9854655,0,0,0,0,0
10058658,0,0,0,0,0
10261825,0,0,0,0,0
10465856,0,0,0,0,0
10669176,0,0,0,0,0
10872225,0,0,0,0,0
11073167,0,0,0,0,0
11275460,0,0,0,0,0
11479015,0,0,0,0,0
11682753,0,0,0,0,0
11885842,0,0,0,0,0
12089170,0,0,0,0,0
12292993,0,0,0,0,0
12496408,0,0,0,0,0
12695444,0,0,0,0,0
12898605,0,0,0,0,0
13098830,0,0,0,0,0
13301786,0,0,0,0,0
13505779,0,0,0,0,0
13709039,0,0,0,0,0
13908997,0,0,0,0,0
14112248,0,0,0,0,0
14315389,0,0,0,0,0
14518608,0,0,0,0,0
14718658,0,0,0,0,0
14921822,0,0,0,0,0
15121061,0,0,0,0,0
15320989,0,0,0,0,0
15524228,0,0,0,0,0
15729015,0,0,0,0,0
15931408,0,0,0,0,0
16134655,0,0,0,0,0
16337832,0,0,0,0,0
16541822,0,0,0,0,0
16745219,0,0,0,0,0
16948381,0,0,0,0,0
17148167,0,0,0,0,0
17351572,0,0,0,0,0
17554772,0,0,0,0,0
17758640,0,0,0,0,0
17962173,0,0,0,0,0
18165025,0,0,0,0,0
18369059,0,0,0,0,0
18572389,0,0,0,0,0
18772232,0,0,0,0,0
18975553,0,0,0,0,0
19178643,0,0,0,0,0
19381832,0,0,0,0,0
19585948,0,0,0,0,0
19789019,0,0,0,0,0
19992386,0,0,0,0,0
20196186,0,0,0,0,0
20395452,0,0,0,0,0
20598633,0,0,0,0,0
20798798,0,0,0,0,0
21001842,0,0,0,0,0
21205972,0,0,0,0,0
21409034,0,0,0,0,0
21612260,0,0,0,0,0
21816383,0,0,0,0,0
22019575,0,0,0,0,0
22222905,0,0,0,0,0
22425835,0,0,0,0,0
22625777,0,0,0,0,0
22829228,0,0,0,0,0
23032177,0,0,0,0,0
23236378,0,0,0,0,0
23437982,0,0,0,0,0
23642777,0,0,0,0,0
23842813,0,0,0,0,0
24045854,0,0,0,0,0
24245803,0,0,0,0,0
24445059,0,0,0,0,0
24648196,0,0,0,0,0
24848387,0,0,0,0,0
25051462,0,0,0,0,0
25254769,0,0,0,0,0
25458644,0,0,0,0,0
25661992,0,0,0,0,0
25865165,0,0,0,0,0
26068992,0,0,0,0,0
26268299,0,0,0,0,0
26471446,0,0,0,0,0
26671433,0,0,0,0,0
26874800,0,0,0,0,0
27077832,0,0,0,0,0
27688334,0,0,0,0,0
27892248,0,0,0,0,0
28095589,0,0,0,0,0
28298790,0,0,0,0,0
28498661,0,0,0,0,0
28701824,0,0,0,0,0
28904986,0,0,0,0,0
29109024,0,0,0,0,0
29312209,0,0,0,0,0
29513302,0,0,0,0,0
29715409,0,0,0,0,0
29918748,0,0,0,0,0
30121829,0,0,0,0,0
30322094,0,0,0,0,0
30520996,0,0,0,0,0
30725041,0,0,0,0,0
30928234,0,0,0,0,0
31131444,0,0,0,0,0
31334802,0,0,0,0,0
31535028,0,0,0,0,0
31737801,0,0,0,0,0
31941825,0,0,0,0,0
32145016,0,0,0,0,0
32348374,0,0,0,0,0
32547713,0,0,0,0,0
32751587,0,0,0,0,0
32954794,0,0,0,0,0
33158586,0,0,0,0,0
33362099,0,0,0,0,0
33564986,0,0,0,0,0
33768380,0,0,0,0,0
33972242,0,0,0,0,0
34171569,0,0,0,0,0
34374786,0,0,0,0,0
34574797,0,0,0,0,0
34777877,0,0,0,0,0
34981049,0,0,0,0,0
35184967,0,0,0,0,0
35388367,0,0,0,0,0
35591391,0,0,0,0,0
35795588,0,0,0,0,0
35998776,0,0,0,0,0
36198643,0,0,0,0,0
36401839,0,0,0,0,0
36605047,0,0,0,0,0
36808367,0,0,0,0,0
37012193,0,0,0,0,0
37215415,0,0,0,0,0
37415566,0,0,0,0,0
37618808,0,0,0,0,0
37822113,0,0,0,0,0
38021979,0,0,0,0,0
38225059,0,0,0,0,0
38428211,0,0,0,0,0
38632188,0,0,0,0,0
38835531,0,0,0,0,0
39038783,0,0,0,0,0
39242786,0,0,0,0,0
39445938,0,0,0,0,0
39849164,0,0,0,0,0
40052362,0,0,0,0,0
40255597,0,0,0,0,0
40459644,0,0,0,0,0
40662790,0,0,0,0,0
40865958,0,0,0,0,0
41069956,0,0,0,0,0
41272990,0,0,0,0,0
41476400,0,0,0,0,0
41676386,0,0,0,0,0
41877769,0,0,0,0,0
42078778,0,0,0,0,0
42281813,0,0,0,0,0
42485833,0,0,0,0,0
42689036,0,0,0,0,0
42893017,0,0,0,0,0
43096394,0,0,0,0,0
43297068,0,0,0,0,0
43499730,0,0,0,0,0
43702755,0,0,0,0,0
43905906,0,0,0,0,0
44109971,0,0,0,0,0
44313027,0,0,0,0,0
44516196,0,0,0,0,0
44720160,0,0,0,0,0
44920345,0,0,0,0,0
45122818,0,0,0,0,0
45322658,0,0,0,0,0
45525992,0,0,0,0,0
45725065,0,0,0,0,0
45929036,0,0,0,0,0
46132211,0,0,0,0,0
46335443,0,0,0,0,0
46539560,0,0,0,0,0
46742926,0,0,0,0,0
46945963,0,0,0,0,0
47145843,0,0,0,0,0
47349033,0,0,0,0,0
47552353,0,0,0,0,0
47753821,0,0,0,0,0
47955706,0,0,0,0,0
48158605,0,0,0,0,0
48362587,0,0,0,0,0
48565824,0,0,0,0,0
48769170,0,0,0,0,0
48969163,0,0,0,0,0
49172405,0,0,0,0,0
49374650,0,0,0,0,0
49575427,0,0,0,0,0
49778793,0,0,0,0,0
49981746,0,0,0,0,0
50185942,0,0,0,0,0
50388965,0,0,0,0,0
50592196,0,0,0,0,0
50792202,0,0,0,0,0
50995445,0,0,0,0,0
51198953,0,0,0,0,0
51398961,0,0,0,0,0
51601964,0,0,0,0,0
51805058,0,0,0,0,0
52008998,0,0,0,0,0
