timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
9276190,0.21286947,-0.22214802,-0.049412213,0.0,0.0,0.0
9280125,0.21285549,-0.2221647,-0.049411602,0.0,0.0,0.0
9284132,0.21213062,-0.22219115,-0.049145624,0.0,0.0,0.0
9288229,0.21210536,-0.22219041,-0.049143333,0.0,0.0,0.0
9292110,0.2121043,-0.22217663,-0.049142703,0.0,0.0,0.0
9296108,0.2121256,-0.2221832,-0.04914487,0.0,0.0,0.0
9300234,0.21212226,-0.22220844,-0.049145546,0.0,0.0,0.0
9304182,0.21211097,-0.22221304,-0.049144708,0.0,0.0,0.0
9308165,0.2105509,-0.22223203,-0.048560463,0.0,0.0,0.0
9312206,0.21056172,-0.22221631,-0.048560824,0.0,0.0,0.0
9316069,0.21056691,-0.22221643,-0.048561294,0.0,0.0,0.0
9320104,0.21058995,-0.22222461,-0.048563674,0.0,0.0,0.0
9324342,0.2106199,-0.22224869,-0.04856729,0.0,0.0,0.0
9328165,0.21064244,-0.22225994,-0.048569743,0.0,0.0,0.0
9332193,0.21022214,-0.22227833,-0.04840784,0.0,0.0,0.0
9336153,0.21023586,-0.22228943,-0.04840951,0.0,0.0,0.0
9340128,0.21025506,-0.22229815,-0.048411567,0.0,0.0,0.0
9344123,0.21029873,-0.2223081,-0.048415866,0.0,0.0,0.0
9348239,0.21033713,-0.22232966,-0.048420142,0.0,0.0,0.0
9352148,0.21038213,-0.22235197,-0.048425037,0.0,0.0,0.0
9356121,0.21057005,-0.22235343,-0.048482943,0.0,0.0,0.0
9360209,0.21062441,-0.22233576,-0.04848713,0.0,0.0,0.0
9364158,0.21068244,-0.22234023,-0.048492514,0.0,0.0,0.0
9368170,0.21074596,-0.2223432,-0.04849832,0.0,0.0,0.0
9372215,0.21080637,-0.2223449,-0.04850381,0.0,0.0,0.0
9376100,0.21086657,-0.22233404,-0.048508786,0.0,0.0,0.0
9380169,0.21106282,-0.22233544,-0.048566043,0.0,0.0,0.0
9384178,0.21112724,-0.22233753,-0.048571903,0.0,0.0,0.0
9388141,0.21120523,-0.22234532,-0.048579205,0.0,0.0,0.0
9392220,0.21128005,-0.22234176,-0.048585776,0.0,0.0,0.0
9396205,0.21133989,-0.22235455,-0.04859164,0.0,0.0,0.0
9400143,0.21144338,-0.22236942,-0.048608113,0.0,0.0,0.0
9404200,0.21152404,-0.22238052,-0.04861578,0.0,0.0,0.0
9408149,0.21161899,-0.22239512,-0.04862487,0.0,0.0,0.0
9412132,0.2117196,-0.22241002,-0.048634477,0.0,0.0,0.0
9416188,0.21179892,-0.22241068,-0.048641615,0.0,0.0,0.0
9420175,0.21188267,-0.2224146,-0.048649285,0.0,0.0,0.0
9424124,0.2119597,-0.22242926,-0.048651464,0.0,0.0,0.0
9428225,0.2120764,-0.2224326,-0.04866206,0.0,0.0,0.0
