timestamp,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,tas_scale,beta_innov,beta_innov_var
45091754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45191201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45292631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45597224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45798428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45999146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46202213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46303113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46509388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46711414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46915345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47116145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47319149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47522954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47722304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47924811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48127243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48329343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48632174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48832151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49034187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49234272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49437001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49639315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49841322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50043054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50245213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50446907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50650144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50850587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51053674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51256084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
