timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
3375665,32767,32767,32767,32767,-54,-54,32767
3379665,32767,32767,32767,32767,32767,32767,32767
3382886,-3,32767,32767,32767,32767,32767,32767
3386880,32767,32767,32767,32767,-51,32767,32767
3390865,32767,32767,32767,32767,32767,32767,32767
3394096,32767,32767,32767,32767,32767,32767,32767
3398865,-38,32767,32767,32767,-52,-52,32767
3402869,32767,32767,32767,32767,32767,32767,32767
3406879,-7,32767,32767,32767,32767,32767,32767
3410865,32767,32767,32767,32767,32767,-55,32767
3414109,32767,32767,32767,32767,32767,32767,32767
3418871,-19,32767,32767,32767,32767,32767,32767
3422869,32767,32767,32767,32767,-67,-67,32767
3426865,32767,32767,32767,32767,32767,32767,32767
3434123,32767,32767,32767,32767,-52,-52,32767
3438871,32767,32767,32767,32767,32767,32767,32767
3442865,-11,32767,32767,32767,32767,32767,32767
3446865,32767,32767,32767,32767,-59,32767,32767
3450865,32767,32767,32767,32767,32767,32767,32767
3454110,-15,32767,32767,32767,32767,32767,32767
3458871,32767,32767,32767,32767,32767,-70,32767
3462865,32767,32767,32767,32767,32767,32767,32767
3466882,-30,32767,32767,32767,-46,-47,32767
3470864,32767,32767,32767,32767,32767,32767,32767
3474870,32767,32767,32767,32767,32767,32767,32767
3478871,-30,32767,32767,32767,-46,-46,32767
3482865,32767,32767,32767,32767,32767,32767,32767
3486876,-8,32767,32767,32767,32767,32767,32767
3490865,32767,32767,32767,32767,-56,-57,32767
3494900,32767,32767,32767,32767,32767,32767,32767
3498865,-11,32767,32767,32767,32767,32767,32767
3502873,32767,32767,32767,32767,32767,32767,32767
3506868,32767,32767,32767,32767,32767,32767,32767
3510871,-22,32767,32767,32767,32767,32767,32767
3514876,32767,32767,32767,32767,-70,-70,32767
3518864,32767,32767,32767,32767,32767,32767,32767
3522865,-30,32767,32767,32767,-46,-46,32767
3526865,32767,32767,32767,32767,32767,32767,32767
3530871,32767,32767,32767,32767,32767,32767,32767
3534865,-30,32767,32767,32767,-45,-45,32767
3538865,32767,32767,32767,32767,32767,32767,32767
3542865,-7,32767,32767,32767,32767,32767,32767
3546865,32767,32767,32767,32767,32767,-55,32767
3550888,32767,32767,32767,32767,32767,32767,32767
3554884,-12,32767,32767,32767,32767,32767,32767
3558865,32767,32767,32767,32767,-60,32767,32767
3562864,32767,32767,32767,32767,32767,32767,32767
3566865,-27,32767,32767,32767,32767,32767,32767
3570879,32767,32767,32767,32767,-76,-76,32767
3574864,32767,32767,32767,32767,32767,32767,32767
3578865,-26,32767,32767,32767,32767,32767,32767
3582876,32767,32767,32767,32767,-74,-75,32767
3586864,32767,32767,32767,32767,32767,32767,32767
3590869,-35,32767,32767,32767,32767,-46,32767
3594865,32767,32767,32767,32767,32767,32767,32767
3598865,-7,32767,32767,32767,32767,32767,32767
3602876,32767,32767,32767,32767,-56,32767,32767
3606865,32767,32767,32767,32767,32767,32767,32767
3610874,-15,32767,32767,32767,32767,32767,32767
3614865,32767,32767,32767,32767,-63,32767,32767
3618865,32767,32767,32767,32767,32767,32767,32767
3622877,-13,32767,32767,32767,32767,32767,32767
3626865,32767,32767,32767,32767,-61,-61,32767
3630879,32767,32767,32767,32767,32767,32767,32767
3634111,-20,32767,32767,32767,32767,32767,32767
3638866,32767,32767,32767,32767,32767,-76,32767
3642916,32767,32767,32767,32767,32767,32767,32767
3646865,-34,32767,32767,32767,-46,-46,32767
3650865,32767,32767,32767,32767,32767,32767,32767
3654873,-8,32767,32767,32767,32767,32767,32767
3658865,32767,32767,32767,32767,-55,-55,32767
3662911,32767,32767,32767,32767,32767,32767,32767
3666865,-14,32767,32767,32767,32767,32767,32767
3670865,32767,32767,32767,32767,-62,-62,32767
3674873,32767,32767,32767,32767,32767,32767,32767
3678089,-7,32767,32767,32767,32767,32767,32767
3682074,32767,32767,32767,32767,32767,-54,32767
3686864,32767,32767,32767,32767,32767,32767,32767
3690865,-27,32767,32767,32767,32767,32767,32767
3694865,32767,32767,32767,32767,-75,-75,32767
3698088,32767,32767,32767,32767,32767,32767,32767
3702082,-27,32767,32767,32767,32767,32767,32767
3705312,32767,32767,32767,32767,-69,-69,32767
3709324,32767,32767,32767,32767,32767,32767,32767
3714080,-38,32767,32767,32767,-45,32767,32767
3718065,32767,32767,32767,32767,32767,32767,32767
3722075,-1,32767,32767,32767,32767,32767,32767
3726071,32767,32767,32767,32767,32767,32767,32767
3729319,32767,32767,32767,32767,32767,32767,32767
3734067,-9,32767,32767,32767,32767,32767,32767
3738064,32767,32767,32767,32767,-58,-59,32767
3742096,32767,32767,32767,32767,32767,32767,32767
3746071,-21,32767,32767,32767,32767,32767,32767
3749322,32767,32767,32767,32767,-62,-62,32767
3754067,32767,32767,32767,32767,32767,32767,32767
3758071,-14,32767,32767,32767,32767,32767,32767
3762065,32767,32767,32767,32767,-62,-62,32767
3766074,32767,32767,32767,32767,32767,32767,32767
3769338,-20,32767,32767,32767,32767,32767,32767
3774068,32767,32767,32767,32767,32767,32767,32767
3778083,32767,32767,32767,32767,32767,32767,32767
3782064,-35,32767,32767,32767,-48,-48,32767
3786088,32767,32767,32767,32767,32767,32767,32767
3789354,-1,32767,32767,32767,32767,32767,32767
3794090,32767,32767,32767,32767,-57,-57,32767
3798119,32767,32767,32767,32767,32767,32767,32767
3802064,-10,32767,32767,32767,32767,32767,32767
3806102,32767,32767,32767,32767,-59,-59,32767
3810064,32767,32767,32767,32767,32767,32767,32767
3814094,-10,32767,32767,32767,32767,32767,32767
3818106,32767,32767,32767,32767,32767,32767,32767
3822065,32767,32767,32767,32767,32767,32767,32767
3826067,-11,32767,32767,32767,32767,32767,32767
3830065,32767,32767,32767,32767,-59,32767,32767
