timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,arspd_check_level,load_factor_ratio,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status,aspd_check_failing,aspd_fault_declared,aspd_use_inhibit,aspd_fail_rtl
3079115,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3558125,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4563120,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5570116,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6573174,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7574240,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8440758,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9443175,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10446374,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11447353,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12455135,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13464501,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14468060,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15469169,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16479862,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17488161,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18497319,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19506982,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20513178,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21516199,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22522634,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23533658,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24538972,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25543902,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26544236,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28559365,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29559975,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30565596,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31568008,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32573415,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33574341,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34581164,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35584158,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36588169,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37588552,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38597384,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40605379,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41609796,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42618342,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43619299,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44622512,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45627139,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46631339,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47641545,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48645158,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49650943,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50657993,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51667125,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52676226,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54687135,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55696253,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56698334,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57707410,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58712256,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59719139,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60727879,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61729678,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62731323,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63737182,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64744398,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65753734,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66755353,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67757558,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68766559,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69767775,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70777211,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71781472,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73800142,983103,2162719,983103,0.0,0.0,15,1,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
