timestamp,lat,lon,alt,x,y,z,yaw,valid_alt,valid_hpos,manual_home
44439162,0.0,0.0,81.255775,0.0,0.0,0.0,0.0,1,0,0
144479559,49.089610272220796,2.110353855910152,81.36742,0.6084832,-0.19982214,-0.11164254,0.92175746,1,1,0
202180869,49.08961195611052,2.1103336011527305,81.495804,0.79572344,-1.6747552,-0.2400277,1.0217516,1,1,0
292088131,49.09269934891869,2.1123278673015395,301.864,344.1,143.53697,-220.60823,1.1484307,1,1,0
292169178,49.0926809651122,2.1123260497145764,301.32504,342.05582,143.40468,-220.06926,1.1727126,1,1,0
292252100,49.092664084465916,2.112324752727316,300.77515,340.17877,143.31029,-219.51938,1.1956486,1,1,0
292337080,49.092645633958305,2.112323490884251,300.13382,338.12717,143.21846,-218.87805,1.22062,1,1,0
292420611,49.0926281961699,2.112322559552858,299.49817,336.18817,143.1507,-218.2424,1.2440408,1,1,0
