timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
3376546,0.29406765,0.02683401,0.1299335
3579416,0.30016285,0.03220238,0.13196503
3782499,0.30374494,0.028601468,0.12964147
3986473,0.3002005,0.024880294,0.12522696
4187071,0.299889,0.03239911,0.12601142
4388958,0.30929244,0.029530115,0.13078733
4593301,0.30219814,0.030266803,0.1290975
4796193,0.29857183,0.033001862,0.13060519
4995296,0.30249673,0.025777128,0.12927543
5200259,0.3005876,0.029692866,0.12668142
5402539,0.30088454,0.03165526,0.12825705
5606594,0.3051752,0.028258037,0.1290585
5810475,0.30397364,0.029997418,0.12710443
6012838,0.30472958,0.028948834,0.12967697
6213838,0.29956737,0.025829988,0.12771222
6418603,0.3069227,0.02943213,0.13015261
6620709,0.30354986,0.029017624,0.12975404
6822650,0.30508226,0.026267435,0.12858196
7022459,0.3033911,0.028326467,0.12958649
7226747,0.30077028,0.030157182,0.12985672
7429820,0.305055,0.030956764,0.12869771
7633373,0.30620286,0.029680783,0.1332034
7836098,0.30257753,0.031907782,0.13450857
8040209,0.29539177,0.028696526,0.12887748
8243429,0.30188912,0.027764523,0.12696198
8443606,0.2973476,0.027804568,0.12705581
8646222,0.30154288,0.030864498,0.12576614
8846642,0.3000187,0.027058,0.1268632
9049460,0.30113387,0.029264603,0.1303786
9253438,0.30604517,0.030907009,0.13038112
9456646,0.29800424,0.025351927,0.12506446
9659920,0.30091187,0.028528778,0.12635441
9863056,0.3044789,0.032189637,0.1269815
10067879,0.2960897,0.028727608,0.12723508
10270316,0.29543132,0.022203762,0.12664148
10470186,0.29988647,0.030233003,0.12718147
10674553,0.295625,0.030247828,0.12612006
10876626,0.29863337,0.022944001,0.13027635
11081848,0.3001856,0.030371305,0.13027951
11283775,0.307902,0.03115275,0.12850392
11486964,0.30859986,0.01990661,0.12920767
11691170,0.29832157,0.02617807,0.12235051
11894292,0.29666376,0.032373905,0.12925912
12097628,0.29048237,0.024929637,0.12689891
12297739,0.2921739,0.027720083,0.1318725
12500612,0.29393733,0.03205509,0.13096829
12704402,0.29800165,0.022524133,0.12737985
12906988,0.2992276,0.027817607,0.12881087
13111314,0.30160546,0.031686738,0.123613395
13314204,0.30485752,0.02381891,0.1240368
13517994,0.30526417,0.02481044,0.12680179
13721459,0.30796438,0.03155847,0.12769435
13921464,0.3085848,0.02853624,0.13036771
14124931,0.2984895,0.022982921,0.13074978
14327848,0.30312216,0.03013132,0.13285562
14531344,0.3046042,0.027329275,0.13353483
14734937,0.29926634,0.023915008,0.1273199
14938542,0.3027036,0.031897023,0.12480278
15141369,0.30521905,0.029805193,0.12572984
15345755,0.3049335,0.02061072,0.12567115
15548894,0.3042714,0.02910886,0.13029629
15749649,0.3009225,0.02883581,0.13415657
15951862,0.29187188,0.024380269,0.12859376
16155060,0.29853427,0.02938729,0.12858096
16358595,0.29516444,0.032187212,0.12648869
16562294,0.29524586,0.022627557,0.12852488
16765710,0.3013087,0.029966507,0.12985045
16968665,0.29443443,0.031445824,0.12688617
17172916,0.29173115,0.019913763,0.12762833
17372242,0.2941782,0.027733807,0.13414216
17575051,0.3013965,0.032102622,0.13336156
17775036,0.3008774,0.030169211,0.13020054
17978222,0.30174598,0.028878527,0.12631854
18182368,0.30297884,0.030754691,0.12454664
18385426,0.29607278,0.030162003,0.12554899
18589419,0.29392895,0.02079175,0.12629363
18789835,0.30362123,0.03018137,0.12883314
18991862,0.29200342,0.031427372,0.13117823
19191933,0.29632434,0.020475304,0.12825736
19394252,0.29927355,0.02733474,0.12704992
19594261,0.30068073,0.033020373,0.12482125
19797733,0.2962167,0.028795676,0.12671804
20000620,0.2954909,0.02845603,0.12600462
20200633,0.29930252,0.024774848,0.12903117
20404989,0.29422656,0.030667687,0.13268399
20607975,0.3028618,0.032019302,0.13226664
20812595,0.30273253,0.021244397,0.13013858
21014234,0.29894274,0.0230062,0.13267183
21219104,0.29683173,0.031246535,0.12413352
21420678,0.29185444,0.022146227,0.124447845
21625796,0.29608607,0.025979405,0.12433747
21824947,0.29916534,0.030160695,0.12555669
22027075,0.29685947,0.021846628,0.13058928
22228148,0.2985538,0.023512095,0.12625754
22430481,0.3028192,0.032503195,0.12761724
22634904,0.3002182,0.025106106,0.12739272
22837387,0.2945974,0.023518352,0.1275825
23041819,0.3002754,0.03003043,0.1267254
23244707,0.30071166,0.028064674,0.12802899
23447217,0.29718953,0.02313795,0.1260709
23651207,0.2941799,0.029244559,0.1277074
23851391,0.2950017,0.026955629,0.12726164
24054248,0.29619238,0.023941316,0.12756841
24257384,0.3064246,0.031336352,0.12948805
24461337,0.29931435,0.022836195,0.1271585
24664666,0.2983581,0.023323094,0.13031925
24869056,0.29945666,0.03162311,0.12733078
25071808,0.29555824,0.023399707,0.1274695
25275937,0.30098256,0.023173936,0.1267452
25476209,0.29735395,0.031127255,0.1276505
25679025,0.2939559,0.027526382,0.13588154
25881474,0.29653117,0.021209095,0.13019167
26086380,0.29884064,0.032172874,0.12777714
26288613,0.30230093,0.029195622,0.12593366
26492194,0.30124372,0.023022851,0.1279111
26693045,0.29724705,0.030040897,0.12851512
26895102,0.29868045,0.030173127,0.13003896
27701648,0.29645115,0.02134295,0.1277777
27901346,0.300653,0.029167825,0.1282968
28103846,0.296554,0.031617448,0.12376944
28308511,0.29553273,0.022806596,0.12830552
28511041,0.30110264,0.026461447,0.13083507
28715206,0.2958627,0.031680897,0.1287521
28917438,0.30035847,0.025117775,0.12872827
29121636,0.2982847,0.02373374,0.12789176
29325322,0.29683065,0.03294149,0.12516259
29525031,0.28853303,0.02524331,0.12678598
29727748,0.30333272,0.022848526,0.12951437
29931279,0.29848313,0.030681126,0.12686588
30134267,0.3037248,0.02799446,0.13069484
30339042,0.29515207,0.022646816,0.12978989
30541502,0.29948562,0.02961759,0.12896383
30741493,0.30136797,0.030430477,0.13442239
30945411,0.29300413,0.026388792,0.12426946
31147771,0.29474324,0.032440767,0.12683474
31351011,0.29074866,0.030823924,0.12633456
31551426,0.30097905,0.021782883,0.12771638
31754360,0.30255514,0.031217882,0.13125649
31959825,0.3007328,0.026659695,0.12807924
32161486,0.2962753,0.026572244,0.13017818
32365008,0.30130583,0.02963039,0.12818778
32567804,0.2992407,0.02593322,0.12828167
32772155,0.29914364,0.027886558,0.13301247
32975119,0.3009666,0.030582892,0.12569615
33174221,0.30179292,0.026351891,0.12410225
33379323,0.29935262,0.030490005,0.12889422
33581555,0.29722518,0.028565124,0.1275919
33784926,0.29585838,0.027422676,0.1257228
33988534,0.29948762,0.030984381,0.12721547
34191741,0.29756665,0.026183708,0.12650517
34395390,0.29620898,0.026635034,0.124108866
34595398,0.2983423,0.029348943,0.12496492
34798293,0.30016887,0.029729258,0.12838967
35001529,0.2991621,0.02869847,0.13361286
35201416,0.3036585,0.027015978,0.12749696
35405344,0.30989775,0.027989805,0.1307116
35607032,0.29511186,0.029774666,0.121857494
35807836,0.29518923,0.026256496,0.12637058
36011741,0.29549193,0.028410044,0.12740453
36214322,0.2968013,0.030620093,0.12713796
36418552,0.3006818,0.02823476,0.12796187
36622414,0.29165232,0.029111084,0.13168561
36824768,0.29960766,0.029974153,0.12726904
37024739,0.29171947,0.027657773,0.12792309
37228138,0.2980645,0.027758589,0.1259172
37430111,0.30334103,0.028966807,0.12781823
37631096,0.30069074,0.03158825,0.124919035
37835189,0.29897478,0.029493976,0.12804127
38038249,0.30911666,0.025659781,0.12907502
38238512,0.29977572,0.027502416,0.12973134
38440615,0.2985558,0.029055748,0.13085778
38644990,0.30290294,0.030906178,0.1274516
38847884,0.30202496,0.026732095,0.12809838
39051416,0.30312452,0.030637495,0.12377191
39254238,0.2941811,0.03143376,0.129575
40065394,0.2962873,0.031121012,0.12815069
40269166,0.29634234,0.02768301,0.12441689
40470247,0.29857486,0.026253765,0.12719527
40670955,0.3021027,0.029826125,0.12645282
40875094,0.29844594,0.02856658,0.12777714
41075132,0.3070799,0.028086025,0.12847182
41277438,0.2960594,0.027364084,0.1346328
41480637,0.30193803,0.028098937,0.1322665
41685015,0.30121344,0.028754225,0.12913255
41886143,0.2981919,0.029370835,0.1248387
42087365,0.2961718,0.029367534,0.1252875
42290290,0.29808488,0.029524624,0.12689312
42495086,0.296475,0.028425768,0.12558754
42697459,0.29405144,0.028184563,0.12917748
42896695,0.29461583,0.030184992,0.1308271
43100913,0.29970288,0.023061937,0.12898159
43300940,0.30078915,0.023744697,0.12900917
43503734,0.29449418,0.032755483,0.127858
43706952,0.2971501,0.026387373,0.12857112
43910946,0.30443674,0.026699197,0.12743896
44111562,0.3024875,0.031338602,0.12816676
44313353,0.29585782,0.029305037,0.12694484
44517357,0.29725128,0.028507562,0.13404822
44720635,0.3053541,0.03010641,0.13705797
44920672,0.29877815,0.025728824,0.13228379
45123791,0.2953817,0.028934933,0.12827231
45324230,0.29613295,0.0286712,0.12557614
45526281,0.2957484,0.025279485,0.12844922
45725418,0.29799438,0.02687785,0.1274153
45929827,0.30176064,0.031039124,0.13008119
46132632,0.29691893,0.027273322,0.13186571
46335755,0.29991335,0.024493903,0.12742719
46540556,0.30220717,0.030572448,0.13176605
46743142,0.29774937,0.02934607,0.12857269
46946800,0.2973472,0.026707543,0.12746248
47147157,0.30000767,0.028615966,0.13068584
47349535,0.29707325,0.029272752,0.13140407
47553218,0.30044803,0.028413571,0.12572807
47755145,0.29922727,0.030561049,0.13080831
47956431,0.2989215,0.030581448,0.13586757
48158992,0.30439928,0.025745222,0.12881114
48363735,0.30077463,0.02439033,0.12918006
48566990,0.30282968,0.0300408,0.12520844
48769520,0.29821375,0.032042492,0.124691635
48969541,0.29468864,0.02191908,0.12578563
49173150,0.30008426,0.029325075,0.12846985
49375100,0.30031016,0.03000706,0.12909675
49575782,0.29937863,0.021687038,0.13000868
49779895,0.29835787,0.03029723,0.13053711
49982200,0.2997432,0.028936913,0.12551357
50187203,0.29563716,0.025521502,0.12618072
50389445,0.29475808,0.028279578,0.12813173
50592966,0.30124095,0.031769022,0.12709953
50793024,0.2973679,0.022885414,0.12644896
50996576,0.2973673,0.027498966,0.13189805
51199149,0.29819593,0.029243119,0.13531306
51399173,0.29632625,0.027361982,0.12922257
51603176,0.29867047,0.024779366,0.129123
51805565,0.30029282,0.027775044,0.12423268
52009940,0.29511997,0.027105689,0.12648256
52212956,0.302845,0.029304251,0.12744217
52414981,0.29818892,0.028007446,0.1302157
52620548,0.2905049,0.026756013,0.1303229
52822970,0.29463395,0.02986612,0.12887132
53027140,0.29303104,0.026595702,0.13336393
53226988,0.30726862,0.02332063,0.1277724
54243560,0.29586574,0.030092537,0.13132107
54443809,0.28812256,0.026736375,0.13265519
54646213,0.29362243,0.026739927,0.13376547
54846216,0.296012,0.03229876,0.12846707
55050004,0.29413542,0.028109951,0.12744085
55253016,0.298172,0.025354497,0.1323449
55455034,0.29267085,0.028705532,0.13182573
55655784,0.2997604,0.030012766,0.13409862
55859535,0.29970443,0.026913125,0.13516763
56062206,0.30540216,0.030891648,0.12977225
56267823,0.29982272,0.028769944,0.13172895
56470497,0.29280376,0.023809817,0.13414481
56672677,0.29620293,0.029193094,0.13251041
56873448,0.29269215,0.026442472,0.12820786
57076800,0.2977692,0.025839519,0.13417266
57276583,0.29672158,0.030380782,0.13176043
57479022,0.30117586,0.02787245,0.13307293
57682943,0.3002671,0.027133696,0.13475852
57886912,0.30192485,0.03223238,0.1309352
58089532,0.29883972,0.02316998,0.13032058
58293557,0.294831,0.028042207,0.13098267
58494974,0.29888442,0.030829238,0.12662263
58700514,0.30083808,0.020770831,0.1327844
58902932,0.28944412,0.02743692,0.13712998
59107088,0.2976381,0.02893553,0.1331479
59306797,0.29247418,0.022184929,0.13338324
59509551,0.29160348,0.023929976,0.13417147
59713486,0.29128996,0.031288784,0.13061492
59916558,0.29661787,0.025885962,0.13042757
60120882,0.30148414,0.022952478,0.13256048
60322126,0.30181673,0.03134937,0.13317077
60522996,0.290451,0.027879838,0.13363741
60727094,0.29634127,0.024057606,0.13117938
60930309,0.29149267,0.028430244,0.13479568
61130248,0.2948576,0.030865893,0.13369258
61332653,0.29338866,0.027663872,0.13364811
61539125,0.29086962,0.029949034,0.13245113
61739937,0.29943573,0.028075535,0.13250618
62549491,0.29133454,0.02623261,0.13616608
62751727,0.29510412,0.029180055,0.13334212
62952623,0.3011908,0.029493509,0.13265094
63156367,0.2992765,0.029724827,0.13146596
63359935,0.29651695,0.026762487,0.13342942
63563987,0.30309328,0.02982121,0.13333541
63766167,0.29891363,0.029156229,0.13769655
63971212,0.29384723,0.02713092,0.13526401
64173364,0.30318815,0.026621029,0.13689134
64373423,0.30667874,0.030337017,0.1336298
64576582,0.30180523,0.027100883,0.13218679
64775751,0.3026687,0.024476796,0.13256267
64979872,0.30375293,0.030098472,0.13248757
65180156,0.30217326,0.028949149,0.13123576
65383240,0.293698,0.028159056,0.13642672
65585449,0.29813263,0.030007195,0.13124743
65790164,0.30292094,0.027400207,0.13423182
65992558,0.29353008,0.028916016,0.1275398
66196559,0.29444364,0.031276744,0.13363323
66398952,0.29815385,0.024974948,0.13246135
66603601,0.2976355,0.027785422,0.13258441
66803200,0.29375356,0.02962188,0.13037394
67005565,0.29739663,0.027073499,0.1339728
67205331,0.29391998,0.026510658,0.13842048
67409192,0.29534784,0.030638225,0.13260362
67612646,0.3008372,0.02958082,0.13055247
67815954,0.29602522,0.02455379,0.1309539
68020113,0.2986102,0.027615543,0.1294029
68223074,0.29981843,0.028129302,0.13007608
68426372,0.29368016,0.0276217,0.13141811
68630461,0.29781923,0.027946867,0.13554358
68832658,0.29978588,0.02554268,0.13335639
69032670,0.29314572,0.028187338,0.13328901
69236549,0.28729975,0.028939728,0.13315037
69438952,0.30276227,0.02974652,0.1296965
69644048,0.29761848,0.028393961,0.13179787
69846287,0.2928865,0.027877305,0.13014016
70051068,0.29587257,0.029311026,0.1328024
70253755,0.29291314,0.030191157,0.1338968
70456612,0.29903245,0.029067762,0.13705821
70656603,0.2925852,0.025027843,0.13279077
70860339,0.3040548,0.02912957,0.13075124
71063050,0.29420397,0.030173868,0.133271
71267642,0.30234766,0.02501732,0.13339502
71470269,0.30031776,0.031291824,0.13576895
71674594,0.2963984,0.02891174,0.13362539
71874903,0.2927146,0.026610596,0.13462508
73090655,0.29260486,0.02731902,0.13344923
73294052,0.29973304,0.027422708,0.13421878
73496691,0.29579982,0.030985786,0.13462657
73701332,0.30629897,0.025683578,0.13554306
73903879,0.2969763,0.02878962,0.12923297
74107404,0.30065572,0.031562287,0.13259543
74307599,0.29787332,0.024882717,0.1329335
74510302,0.29778588,0.028285202,0.13209443
74714106,0.2964981,0.030279938,0.13540749
75121315,0.29703224,0.026630381,0.1354587
75324213,0.2992604,0.026906952,0.13468198
75524367,0.30095115,0.02678871,0.13079967
75727137,0.30572045,0.02988313,0.13284624
75931158,0.30210787,0.02983322,0.13523048
76131115,0.29049397,0.028229943,0.13311863
76333432,0.29607418,0.030750621,0.13329175
76537658,0.28582206,0.029746592,0.135311
76740583,0.2977674,0.028260242,0.1362251
76944605,0.29806682,0.02901976,0.13131681
77147571,0.29681557,0.025840543,0.12923725
77347459,0.29298326,0.029138716,0.13199195
77550329,0.29884323,0.027391149,0.13337544
77754265,0.29917654,0.02710147,0.12681042
77954185,0.3028129,0.02593619,0.12913789
78156700,0.30194676,0.030320153,0.13163395
78356401,0.29944134,0.027876964,0.13277952
78559946,0.2975618,0.02696565,0.13402629
78966337,0.3041831,0.02885154,0.13031435
79170724,0.3002088,0.024652481,0.13144366
79373506,0.29429692,0.027206492,0.13216719
79576618,0.29611447,0.026207583,0.13335583
79780243,0.29564133,0.027881423,0.13653432
79980415,0.29054934,0.027165046,0.134306
80183088,0.29471135,0.025045766,0.13406628
80382968,0.2981451,0.026687171,0.13170843
80587053,0.29896823,0.02898909,0.13142283
80789512,0.29847094,0.028250914,0.12952872
80994231,0.298024,0.02683332,0.12711003
81196579,0.29743358,0.026490415,0.13287704
81400593,0.30304012,0.029343694,0.13913603
81603774,0.29936808,0.02717217,0.13930723
81807600,0.28920427,0.02580093,0.131975
82010232,0.29844743,0.029860148,0.1320225
82209563,0.29799566,0.028014433,0.1290353
82413437,0.28884542,0.027451562,0.13302742
82617291,0.29345974,0.029674958,0.13630909
82820618,0.30193475,0.028334126,0.13243562
83023792,0.2981995,0.027466202,0.13510709
83227449,0.29632658,0.028478311,0.1370671
83431154,0.2996346,0.025872104,0.1354801
83630455,0.2983708,0.02461092,0.13142951
83833859,0.2942531,0.02828399,0.1291068
84033763,0.29253477,0.02808751,0.13427098
84236533,0.29565075,0.030406635,0.13424301
84440389,0.29653645,0.025780346,0.13121666
84643789,0.29597285,0.02665863,0.13652232
84846938,0.29500318,0.029588623,0.13514315
85051288,0.2944594,0.02790838,0.13155833
85251626,0.2988603,0.029191192,0.13062468
