timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
9192693,0,0.0,0.0,0.0,0.0,0.067074,1.0644407e-07,2.8483205e-07,0.0,-0.0042161755,-0.000269659,-0.008527558,-0.08210554,2.6741383e-05,7.155686e-05,0.0,-0.0023019016,0.003783145,0.013283101,1.2535261,0.0,0.1,0.008527558,0.50079864,0.35611358,0.5875951,0.27916592,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9200664,0,0.0,0.0,0.0,0.0,0.066903144,1.0644407e-07,2.8483205e-07,0.0,-0.0042404095,-0.00017464752,-0.0084837945,-0.08152493,2.6741383e-05,7.155686e-05,0.0,0.0051918435,3.967399e-05,0.0035364954,1.2534785,0.0,0.1,0.0084837945,0.5048714,0.35798612,0.5913704,0.2799152,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9296676,0,0.0,0.0,0.0,0.0,0.06689609,1.0644407e-07,2.8483205e-07,0.0,-0.00457006,0.0011222309,-0.00857294,-0.07354112,2.6741383e-05,7.155686e-05,0.0,0.008470051,0.01181559,0.0051472317,1.2526138,0.0,0.1,0.00857294,0.5540231,0.35725802,0.6362692,0.27617648,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9400675,0,0.0,0.0,0.0,0.0,0.067068025,1.0644407e-07,2.8483205e-07,0.0,-0.004443951,0.0021528224,-0.008912799,-0.06619342,2.6741383e-05,7.155686e-05,0.0,-0.015022317,0.010352953,-0.014728857,1.2503686,0.0,0.1,0.008912799,0.6116289,0.35298052,0.68654364,0.27016175,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9500664,0,0.0,0.0,0.0,0.0,0.066450976,1.0644407e-07,2.8483205e-07,0.0,-0.004111148,0.0028558099,-0.0089976415,-0.060683444,2.6741383e-05,7.155686e-05,0.0,0.008286688,-9.541009e-05,0.001058333,1.2481394,0.0,0.1,0.0089976415,0.66908985,0.35234624,0.73415023,0.26642665,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9603864,0,0.0,0.0,0.0,0.0,0.07193252,1.0644407e-07,2.8483205e-07,0.0,-0.004266484,0.0028253156,-0.006090267,-0.04641441,2.6741383e-05,7.155686e-05,0.0,-0.013876846,-0.005636161,0.020770999,1.2460616,0.0,0.1,0.006090267,0.73775584,0.35389364,0.787608,0.26331285,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9707870,0,0.0,0.0,0.0,0.0,0.079896435,1.0644407e-07,2.8483205e-07,0.0,-0.0040128483,0.002442315,-0.0013855388,-0.029727567,2.6741383e-05,7.155686e-05,0.0,0.00620991,-0.0014135422,0.0098287705,1.244936,0.0,0.1,0.0013855388,0.8087585,0.34954715,0.8395211,0.25733107,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9811095,0,0.0,0.0,0.0,0.0,0.08788461,1.0644407e-07,2.8483205e-07,0.0,-0.004098281,0.0024322101,0.0026077032,-0.016093526,2.6741383e-05,7.155686e-05,0.0,-0.009205065,0.0028871624,0.003739091,1.244443,0.0,0.1,-0.0026077032,0.8852514,0.35052887,0.8921129,0.25419983,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9907082,0,0.0,0.0,0.0,0.0,0.08924574,1.0644407e-07,2.8483205e-07,0.0,-0.0042610574,0.002673301,0.0033618899,-0.013773098,2.6741383e-05,7.155686e-05,0.0,-0.009550237,-0.006181321,0.00057724694,1.2444255,0.0,0.1,-0.0033618899,0.9574909,0.34932888,0.9388586,0.25041148,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
10011113,0,0.0,0.0,0.0,0.0,0.09263586,1.0644407e-07,2.8483205e-07,0.0,-0.0041300226,0.0029161868,0.004334403,-0.009336988,2.6741383e-05,7.155686e-05,0.0,-0.009404828,-0.0050787297,0.023772953,1.2438426,0.0,0.1,-0.004334403,1.0397683,0.34975523,0.9889376,0.24723242,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
