timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
3306363,0.27566406,0.032464698,0.12804586
3511468,0.27449864,0.027910685,0.13474233
3711631,0.2824657,0.03248329,0.12569135
3915011,0.27803156,0.032474965,0.12740736
4119384,0.28250945,0.030148521,0.12824543
4321905,0.2870878,0.03249607,0.1260713
4525135,0.27607745,0.033260662,0.12906903
4729985,0.27574304,0.029923325,0.12710789
4932813,0.2800783,0.03316094,0.128473
5131508,0.28351432,0.032018904,0.12678489
5336188,0.27682593,0.029586395,0.12249799
5539268,0.2793881,0.02955021,0.12568557
5742759,0.27674502,0.032757375,0.124369055
5946644,0.2822581,0.030514194,0.12737155
6149052,0.27529234,0.03286073,0.12530066
6354498,0.27232403,0.031910658,0.1271119
6556357,0.27456877,0.03230601,0.1297203
6759987,0.28181395,0.02996846,0.12634847
6960810,0.27818477,0.030641926,0.12771875
7163414,0.27068534,0.03172925,0.12909973
7365865,0.27445063,0.031527605,0.13063784
7570545,0.28367928,0.030503288,0.12700932
7773140,0.2727509,0.029641131,0.12880051
7976816,0.27966398,0.03150156,0.12855795
8180306,0.28156263,0.031737916,0.12350712
8380363,0.27893856,0.030843053,0.12907511
8583177,0.27301753,0.030106978,0.1249728
8783257,0.28388917,0.031053526,0.1253663
8982509,0.28058338,0.029904114,0.1270061
9186036,0.2751287,0.027344016,0.1270621
9386489,0.27720475,0.03140573,0.12761888
9589221,0.2742293,0.03296539,0.12653604
9792089,0.27899057,0.031441927,0.12310858
9997229,0.27657896,0.030743556,0.12611993
10199157,0.27164382,0.031102147,0.12849286
10404442,0.27590108,0.03066961,0.12954196
10606955,0.2790603,0.032002572,0.12474447
10809598,0.28094906,0.03075338,0.12926929
11012873,0.2759604,0.030723412,0.12928842
11213978,0.280631,0.032781076,0.12895633
11415995,0.27411368,0.03158267,0.13005579
11620159,0.27990222,0.030956084,0.12460763
11823277,0.2812572,0.031804513,0.12864183
12026861,0.28141767,0.03092658,0.12399448
12228263,0.28156587,0.030121252,0.12286647
12429681,0.2776553,0.030107139,0.12564622
12633115,0.2751918,0.027650235,0.12603322
12836008,0.27954206,0.02964797,0.12510435
13036018,0.28370675,0.02953542,0.123527974
13239534,0.28952807,0.028756535,0.13057461
13443245,0.2842349,0.029820051,0.1288705
13646490,0.28227928,0.03146395,0.12466511
13849976,0.27662882,0.031119421,0.12627931
14050155,0.28213912,0.030651815,0.12878498
14252873,0.27600804,0.03238581,0.1271144
14456538,0.29189077,0.02977581,0.1244908
14656821,0.27842307,0.028331695,0.12675942
14859164,0.27720034,0.032533355,0.1233428
15059546,0.27438727,0.030971175,0.12552266
16072123,0.27893654,0.030166887,0.12796845
16276389,0.27947733,0.030295167,0.1269379
16477584,0.2780352,0.028266452,0.124096625
16683378,0.2778729,0.030800046,0.12561035
16885595,0.28257266,0.030486902,0.12736171
17085630,0.29250365,0.029583748,0.1255815
17289176,0.2814726,0.029782467,0.1273872
17492007,0.27333012,0.028038943,0.124021664
17697698,0.27961266,0.031811226,0.12744789
17899230,0.27232245,0.0305683,0.1277726
18103377,0.27600616,0.028044455,0.12170433
18304033,0.27611527,0.030162262,0.12456875
18506955,0.27579346,0.029616663,0.12575139
18708840,0.28506175,0.030687148,0.12776345
18911322,0.27359396,0.028343756,0.12884618
19112065,0.27678597,0.029235214,0.13145602
