timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
2989763,inf,1,0,0,0,0
3488336,inf,0,0,1,0,0
4503122,inf,0,0,1,0,0
5517043,inf,0,0,1,0,0
6532375,inf,0,0,1,0,0
7547168,inf,0,0,1,0,0
8560584,inf,0,0,1,0,0
9574053,inf,0,0,1,0,0
10592357,inf,0,0,1,0,0
11607580,inf,0,0,1,0,0
12619104,inf,0,0,1,0,0
13619467,inf,0,0,1,0,0
14627460,inf,0,0,1,0,0
16651151,inf,0,0,1,0,0
17665260,inf,0,0,1,0,0
18676986,inf,0,0,1,0,0
19691349,inf,0,0,1,0,0
20703239,inf,0,0,1,0,0
21714053,inf,0,0,1,0,0
22724052,inf,0,0,1,0,0
23730052,inf,0,0,1,0,0
24746154,inf,0,0,1,0,0
25765051,inf,0,0,1,0,0
26780072,inf,0,0,1,0,0
27793753,inf,0,0,1,0,0
28806683,inf,0,0,1,0,0
30825228,inf,0,0,1,0,0
31840052,inf,0,0,1,0,0
32851764,inf,0,0,1,0,0
33865824,inf,0,0,1,0,0
34874548,inf,0,0,1,0,0
35889052,inf,0,0,1,0,0
36906214,inf,0,0,1,0,0
37919156,inf,0,0,1,0,0
38931300,inf,0,0,1,0,0
39942628,inf,0,0,1,0,0
40954621,inf,0,0,1,0,0
41967748,inf,0,0,1,0,0
42986001,inf,0,0,1,0,0
44006378,inf,0,0,1,0,0
45020054,inf,0,0,1,0,0
46030151,inf,0,0,1,0,0
47038057,inf,0,0,1,0,0
48049077,inf,0,0,1,0,0
49064179,inf,0,0,1,0,0
51099305,inf,0,0,1,0,0
52113060,inf,0,0,1,0,0
53128052,inf,0,0,1,0,0
54142052,inf,0,0,1,0,0
55157519,inf,0,0,1,0,0
56163134,inf,0,0,1,0,0
57173052,inf,0,0,1,0,0
58181052,inf,0,0,1,0,0
59195108,inf,0,0,1,0,0
60212058,inf,0,0,1,0,0
60416151,inf,0,0,0,1,0
60458798,inf,1,0,0,0,0
61475400,inf,1,0,0,0,0
62486404,inf,1,0,0,0,0
63497794,inf,1,0,0,0,0
64511149,inf,1,0,0,0,0
66548055,inf,1,0,0,0,0
67566788,inf,1,0,0,0,0
68575581,inf,1,0,0,0,0
69597110,inf,1,0,0,0,0
70611932,inf,1,0,0,0,0
71622172,inf,1,0,0,0,0
72641376,inf,1,0,0,0,0
73650324,inf,1,0,0,0,0
74666149,inf,1,0,0,0,0
75673821,inf,1,0,0,0,0
76682780,inf,1,0,0,0,0
77703753,inf,1,0,0,0,0
78714054,inf,1,0,0,0,0
79715136,inf,1,0,0,0,0
80715775,inf,1,0,0,0,0
81732264,inf,1,0,0,0,0
82735112,inf,1,0,0,0,0
83735316,inf,1,0,0,0,0
84739560,inf,1,0,0,0,0
85747121,inf,1,0,0,0,0
86758100,inf,1,0,0,0,0
87770057,inf,1,0,0,0,0
88773208,inf,1,0,0,0,0
89783312,inf,1,0,0,0,0
90790169,inf,1,0,0,0,0
91802054,inf,1,0,0,0,0
92820091,inf,1,0,0,0,0
93827169,inf,1,0,0,0,0
94841106,inf,1,0,0,0,0
95857390,inf,1,0,0,0,0
96864054,inf,1,0,0,0,0
97872646,inf,1,0,0,0,0
98872987,inf,1,0,0,0,0
99890458,inf,1,0,0,0,0
100908286,inf,1,0,0,0,0
101918099,inf,1,0,0,0,0
102928098,inf,1,0,0,0,0
104961091,inf,1,0,0,0,0
105977075,inf,1,0,0,0,0
106991379,inf,1,0,0,0,0
108003376,inf,1,0,0,0,0
108997119,inf,0,0,1,0,0
110014557,inf,0,0,1,0,0
111032361,inf,0,0,1,0,0
111321086,inf,0,0,0,1,0
111364062,inf,1,0,0,0,0
112374156,inf,1,0,0,0,0
113386751,inf,1,0,0,0,0
114388058,inf,1,0,0,0,0
115399484,inf,1,0,0,0,0
116417788,inf,1,0,0,0,0
117420058,inf,1,0,0,0,0
119444366,inf,1,0,0,0,0
120457822,inf,1,0,0,0,0
121460059,inf,1,0,0,0,0
122468170,inf,1,0,0,0,0
123480825,inf,1,0,0,0,0
124492093,inf,1,0,0,0,0
125501160,inf,1,0,0,0,0
126515596,inf,1,0,0,0,0
127522058,inf,1,0,0,0,0
128535765,inf,1,0,0,0,0
129537820,inf,1,0,0,0,0
130538298,inf,1,0,0,0,0
131554490,inf,1,0,0,0,0
132568335,inf,1,0,0,0,0
133571548,inf,1,0,0,0,0
134583138,inf,1,0,0,0,0
135595903,inf,1,0,0,0,0
136607816,inf,1,0,0,0,0
137621097,inf,1,0,0,0,0
138632053,inf,1,0,0,0,0
139647794,inf,1,0,0,0,0
140658057,inf,1,0,0,0,0
141671139,inf,1,0,0,0,0
142686927,inf,1,0,0,0,0
143694483,inf,1,0,0,0,0
144705135,inf,1,0,0,0,0
145719136,inf,1,0,0,0,0
146735432,inf,1,0,0,0,0
147753109,inf,1,0,0,0,0
148758469,inf,1,0,0,0,0
149764056,inf,1,0,0,0,0
151789101,inf,1,0,0,0,0
152796092,inf,1,0,0,0,0
154798199,inf,1,0,0,0,0
155805773,inf,1,0,0,0,0
156819190,inf,1,0,0,0,0
158847135,inf,1,0,0,0,0
159858051,inf,1,0,0,0,0
160874057,inf,1,0,0,0,0
161882054,inf,1,0,0,0,0
162896054,inf,1,0,0,0,0
163909368,inf,1,0,0,0,0
164923536,inf,1,0,0,0,0
165942097,inf,1,0,0,0,0
166953531,inf,1,0,0,0,0
167969095,inf,1,0,0,0,0
168988245,inf,1,0,0,0,0
169998993,inf,1,0,0,0,0
171017103,inf,1,0,0,0,0
172030054,inf,1,0,0,0,0
173041404,inf,1,0,0,0,0
174054147,inf,1,0,0,0,0
175066054,inf,1,0,0,0,0
176073860,inf,1,0,0,0,0
177087106,inf,1,0,0,0,0
178100067,inf,1,0,0,0,0
179116124,inf,1,0,0,0,0
180125148,inf,1,0,0,0,0
181140094,inf,1,0,0,0,0
183142193,inf,1,0,0,0,0
184153112,inf,1,0,0,0,0
185168058,inf,1,0,0,0,0
186176092,inf,1,0,0,0,0
187189057,inf,1,0,0,0,0
188199146,inf,1,0,0,0,0
189213054,inf,1,0,0,0,0
190227519,inf,1,0,0,0,0
191244927,inf,1,0,0,0,0
192259349,inf,1,0,0,0,0
193270188,inf,1,0,0,0,0
194284058,inf,1,0,0,0,0
195293858,inf,1,0,0,0,0
196305057,inf,1,0,0,0,0
197315447,inf,1,0,0,0,0
198322324,inf,1,0,0,0,0
199339175,inf,1,0,0,0,0
200353130,inf,1,0,0,0,0
201368173,inf,1,0,0,0,0
202383185,inf,1,0,0,0,0
203393108,inf,1,0,0,0,0
204412183,inf,1,0,0,0,0
205424965,inf,1,0,0,0,0
206431216,inf,1,0,0,0,0
207450577,inf,1,0,0,0,0
208460236,inf,1,0,0,0,0
209466059,inf,1,0,0,0,0
210471771,inf,1,0,0,0,0
211484065,inf,1,0,0,0,0
212501057,inf,1,0,0,0,0
213514229,inf,1,0,0,0,0
214520679,inf,1,0,0,0,0
215526054,inf,1,0,0,0,0
216542059,inf,1,0,0,0,0
217559144,inf,1,0,0,0,0
218576569,inf,1,0,0,0,0
219586054,inf,1,0,0,0,0
220601896,inf,1,0,0,0,0
221618574,inf,1,0,0,0,0
222628113,inf,1,0,0,0,0
223638342,inf,1,0,0,0,0
224651148,inf,1,0,0,0,0
225666054,inf,1,0,0,0,0
226679496,inf,1,0,0,0,0
227689343,inf,1,0,0,0,0
228701053,inf,1,0,0,0,0
229715402,inf,1,0,0,0,0
230726825,inf,1,0,0,0,0
231747156,inf,1,0,0,0,0
232755360,inf,1,0,0,0,0
233763778,inf,1,0,0,0,0
234775148,inf,1,0,0,0,0
236791574,inf,1,0,0,0,0
237798156,inf,1,0,0,0,0
238817101,inf,1,0,0,0,0
240836142,inf,1,0,0,0,0
241856178,inf,1,0,0,0,0
242874590,inf,1,0,0,0,0
243892581,inf,1,0,0,0,0
244908219,inf,1,0,0,0,0
245921678,inf,1,0,0,0,0
246930467,inf,1,0,0,0,0
247947441,inf,1,0,0,0,0
248955466,inf,1,0,0,0,0
249963136,inf,1,0,0,0,0
250979208,inf,1,0,0,0,0
251995388,inf,1,0,0,0,0
253009818,inf,1,0,0,0,0
254024094,inf,1,0,0,0,0
255032100,inf,1,0,0,0,0
256046053,inf,1,0,0,0,0
256996393,inf,0,0,1,0,0
258005057,inf,0,0,1,0,0
258859463,inf,0,0,0,1,0
258900385,inf,1,0,0,0,0
259909053,inf,1,0,0,0,0
260922051,inf,1,0,0,0,0
261934053,inf,1,0,0,0,0
263955316,inf,1,0,0,0,0
264972053,inf,1,0,0,0,0
265989063,inf,1,0,0,0,0
267004300,inf,1,0,0,0,0
268016054,inf,1,0,0,0,0
269028054,inf,1,0,0,0,0
270037198,inf,1,0,0,0,0
271053018,inf,1,0,0,0,0
272070890,inf,1,0,0,0,0
273076101,inf,1,0,0,0,0
274093534,inf,1,0,0,0,0
275109070,inf,1,0,0,0,0
276115297,inf,1,0,0,0,0
277126054,inf,1,0,0,0,0
278138053,inf,1,0,0,0,0
279152056,inf,1,0,0,0,0
280170620,inf,1,0,0,0,0
281188123,inf,1,0,0,0,0
282201109,inf,1,0,0,0,0
283221785,inf,1,0,0,0,0
284237062,inf,1,0,0,0,0
285246421,inf,1,0,0,0,0
286257114,inf,1,0,0,0,0
287267775,inf,1,0,0,0,0
288284735,inf,1,0,0,0,0
289291556,inf,1,0,0,0,0
291116273,inf,0,0,0,1,0
291157067,inf,1,0,0,0,0
292172126,inf,1,0,0,0,0
294202755,inf,1,0,0,0,0
295221054,inf,1,0,0,0,0
296234169,inf,1,0,0,0,0
297254015,inf,1,0,0,0,0
298259657,inf,1,0,0,0,0
