timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
4501488,0.0,0.0,0.0,0.00080409565,-7.217597e-05,0.120147705,0.0,0.0,0.0,-0.0022019148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2858436,0.28584254,4.193764,0.0,0.0,0.0,0.09413608,0.0,0.0,0.0,0.0,0.0,0.015165176,0.001945599,0.0021742638,0.0,0.0,0.0,0.0,0.0,0.0
4512675,0.0,0.0,0.0,0.00080409565,-7.217597e-05,0.120147705,0.0,0.0,0.0,-0.06439209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2858436,0.28584254,4.193764,0.0,0.0,0.0,0.094058536,0.0,0.0,0.0,0.0,0.0,0.012337188,0.0017395937,0.0019977817,0.0,0.0,0.0,0.0,0.0,0.0
4712664,0.0,0.0,0.0,0.0015253132,-0.0003349846,0.13926697,0.0,0.0,0.0,0.010401726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2817463,0.28174314,4.191571,0.0,0.0,0.0,0.09404857,0.0,0.0,0.0,0.0,0.0,0.004158057,0.034869697,0.035448927,0.0,0.0,0.0,0.0,0.0,0.0
4915899,0.0,0.0,0.0,0.0023744968,-0.00054475357,-0.48294067,0.0,0.0,0.0,-0.059162736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2817381,0.28173238,4.1920633,0.0,0.0,0.0,0.09406735,0.0,0.0,0.0,0.0,0.0,0.0012562217,0.0218975,0.012945907,0.0,0.0,0.0,0.0,0.0,0.0
5123863,0.0,0.0,0.0,0.0026929565,-0.0007977015,0.02041626,0.0,0.0,0.0,0.07563722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28274605,0.28273922,4.189793,0.0,0.0,0.0,0.09398307,0.0,0.0,0.0,0.0,0.0,0.0038610888,0.009490089,0.00465142,0.0,0.0,0.0,0.0,0.0,0.0
5327064,0.0,0.0,0.0,0.002769987,-0.0009376599,-0.26210022,0.0,0.0,0.0,0.0012898445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28292504,0.28291902,4.184941,0.0,0.0,0.0,0.09396706,0.0,0.0,0.0,0.0,0.0,0.008213787,0.018139074,0.013902854,0.0,0.0,0.0,0.0,0.0,0.0
5530287,0.0,0.0,0.0,0.0027564443,-0.0009333382,-0.021774292,0.0,0.0,0.0,-0.026770353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28240946,0.28240427,4.1785793,0.0,0.0,0.0,0.093781,0.0,0.0,0.0,0.0,0.0,0.0021521284,0.022614531,0.024202414,0.0,0.0,0.0,0.0,0.0,0.0
5730264,0.0,0.0,0.0,0.0025984403,-0.0008979185,-0.1894226,0.0,0.0,0.0,0.0563972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2805296,0.2805253,4.1701756,0.0,0.0,0.0,0.09366217,0.0,0.0,0.0,0.0,0.0,0.0062998002,0.011952876,0.007992479,0.0,0.0,0.0,0.0,0.0,0.0
5929469,0.0,0.0,0.0,0.0027275616,-0.0011262764,-0.1490326,0.0,0.0,0.0,0.0055788755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28066677,0.2806626,4.165896,0.0,0.0,0.0,0.09348363,0.0,0.0,0.0,0.0,0.0,0.0024550958,0.0091170985,0.006174228,0.0,0.0,0.0,0.0,0.0,0.0
6136663,0.0,0.0,0.0,0.002659554,-0.0012676654,0.077056885,0.0,0.0,0.0,0.08041954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27957553,0.27957162,4.1591625,0.0,0.0,0.0,0.093305536,0.0,0.0,0.0,0.0,0.0,0.0025025816,0.017995,0.024803642,0.0,0.0,0.0,0.0,0.0,0.0
