timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
4494694,-1.5839918,-1.5971166,14.48,1.0
4505129,-1.5825251,-1.5957683,14.53,1.0
4516424,-1.5832777,-1.5964497,14.505,1.0
4528064,-1.5857968,-1.5988706,14.465,1.0
4538980,-1.5889426,-1.6020564,14.469999,1.0
4550552,-1.5924989,-1.6057894,14.5199995,1.0
4562303,-1.597429,-1.6105787,14.455,1.0
4573214,-1.6035908,-1.6167952,14.465,1.0
4584034,-1.6070616,-1.6202523,14.45,1.0
4595987,-1.6054763,-1.6187404,14.474999,1.0
4607277,-1.5996641,-1.6128905,14.469999,1.0
4618407,-1.5918015,-1.6049762,14.495,1.0
4629201,-1.5836416,-1.5967628,14.5,1.0
4639972,-1.5763527,-1.5895363,14.53,1.0
4652440,-1.5696201,-1.5825678,14.485,1.0
4663222,-1.5636554,-1.5765833,14.49,1.0
4675206,-1.5585053,-1.5713224,14.465,1.0
4685948,-1.5537533,-1.5665413,14.46,1.0
4698547,-1.5473348,-1.5601493,14.495,1.0
4709219,-1.5378993,-1.5506667,14.495,1.0
4721854,-1.5266666,-1.5393678,14.505,1.0
4732115,-1.5164344,-1.5289719,14.49,1.0
4743256,-1.5101447,-1.5226471,14.505,1.0
4754927,-1.5088545,-1.5212238,14.45,1.0
4767132,-1.5119821,-1.5244828,14.49,1.0
4778943,-1.5176092,-1.5301608,14.48,1.0
4790169,-1.5242511,-1.5369223,14.509999,1.0
4802415,-1.5304593,-1.5430783,14.48,1.0
4813340,-1.5363523,-1.5490198,14.48,1.0
4825652,-1.5434353,-1.5562896,14.509999,1.0
4836024,-1.5530474,-1.5659229,14.5,1.0
4847225,-1.5646962,-1.577692,14.5,1.0
4858416,-1.5761024,-1.5891652,14.49,1.0
4868978,-1.5858942,-1.5989484,14.474999,1.0
4881665,-1.5948524,-1.6080444,14.495,1.0
4892353,-1.6042422,-1.6174822,14.469999,1.0
4903153,-1.6144905,-1.6278434,14.48,1.0
4914393,-1.6243241,-1.6378278,14.49,1.0
4927084,-1.6318642,-1.6453547,14.474999,1.0
4938431,-1.6371907,-1.650834,14.509999,1.0
4949512,-1.6408235,-1.65431,14.445,1.0
4960390,-1.6436843,-1.6573235,14.509999,1.0
4972829,-1.6461098,-1.6597364,14.49,1.0
4983661,-1.6491964,-1.6628567,14.49,1.0
4994393,-1.6536239,-1.667292,14.48,1.0
5006473,-1.6595354,-1.6733356,14.5,1.0
5017703,-1.6652064,-1.6789747,14.469999,1.0
5029391,-1.6685036,-1.6823424,14.505,1.0
5040363,-1.6686125,-1.6824669,14.509999,1.0
5051045,-1.6669884,-1.680796,14.49,1.0
5062960,-1.6657885,-1.6795549,14.485,1.0
5074319,-1.6668866,-1.6805888,14.46,1.0
5085738,-1.670854,-1.6847353,14.509999,1.0
5098393,-1.6762055,-1.6901817,14.53,1.0
5109719,-1.6811347,-1.6949985,14.474999,1.0
5120738,-1.6843588,-1.6982467,14.48,1.0
5132290,-1.6851685,-1.699078,14.485,1.0
5143110,-1.6840825,-1.6979814,14.469999,1.0
5154581,-1.6822,-1.6959816,14.45,1.0
5165214,-1.6812446,-1.6951596,14.495,1.0
5177021,-1.6824462,-1.6963563,14.49,1.0
5188073,-1.6870166,-1.7009326,14.485,1.0
5200513,-1.6944866,-1.7084199,14.469999,1.0
5211754,-1.7028568,-1.7169766,14.495,1.0
5222182,-1.7096184,-1.7238991,14.53,1.0
5233944,-1.7131009,-1.7272283,14.474999,1.0
5244904,-1.714125,-1.7283874,14.5199995,1.0
5258042,-1.7135586,-1.7276486,14.469999,1.0
5268915,-1.7114065,-1.7255237,14.485,1.0
5280935,-1.706262,-1.7203008,14.469999,1.0
5292338,-1.6986303,-1.7127064,14.495,1.0
5304040,-1.6893883,-1.7033964,14.495,1.0
5314954,-1.6787324,-1.6926373,14.49,1.0
5325954,-1.6670063,-1.6807451,14.474999,1.0
5338288,-1.655882,-1.6695253,14.465,1.0
5348889,-1.6468166,-1.6604946,14.5,1.0
5360708,-1.639459,-1.6530327,14.485,1.0
5371622,-1.6324617,-1.6459135,14.48,1.0
5382960,-1.6253984,-1.6389165,14.514999,1.0
5394396,-1.6186436,-1.6319354,14.455,1.0
5405596,-1.6134275,-1.6267186,14.469999,1.0
5417508,-1.6097997,-1.6232228,14.509999,1.0
5429269,-1.6069204,-1.620206,14.49,1.0
5441242,-1.6043407,-1.6176901,14.5,1.0
5452042,-1.6014978,-1.6147254,14.465,1.0
5463104,-1.6000164,-1.613251,14.495,1.0
5473948,-1.6010479,-1.6142371,14.469999,1.0
5485963,-1.604665,-1.618015,14.505,1.0
