timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
2624103,0,1200.0,0.6060793,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,1,36
2995387,2995214,1200.0,0.5320668,0.0,0.0,0.0,255,0,6,4,0,0,1,1,1,1,36
3997227,2995214,1200.0,0.5320668,0.020985834,0.22984484,0.0,255,0,6,4,1,0,1,1,1,1,36
5003259,2995214,1200.0,0.5320668,0.0208457,0.6501873,0.0,255,0,6,4,1,0,1,1,1,1,36
5886343,5880093,1200.0,0.5320668,0.020798318,0.46944776,0.0,255,0,6,4,1,0,1,1,1,1,36
6114368,6108318,1200.0,0.5320668,0.020798318,0.46944776,0.0,255,0,6,4,1,0,1,1,1,1,36
7044036,7041040,1200.0,0.5320668,0.2345012,3.8627837,0.16664553,255,0,6,4,1,0,1,1,1,1,36
8053493,7041040,1200.0,0.5320668,0.13135976,0.5204632,0.0,255,0,6,4,1,0,1,1,1,1,36
8083192,8079132,1200.0,0.5320668,0.13135976,0.5204632,0.0,255,0,6,4,1,0,1,1,1,1,36
9014711,9011585,1200.0,0.37224478,0.04162541,0.89593744,0.0,255,0,6,4,1,0,1,1,1,1,36
10022207,9011585,1200.0,0.37224478,0.04170804,0.91658384,0.0,255,0,6,4,1,0,1,1,1,1,36
10042465,10038041,1200.0,0.37224478,0.04170804,0.91658384,0.0,255,0,6,4,1,0,1,1,1,1,36
11045612,10038041,1200.0,0.36675593,0.04183146,0.9003723,0.0,255,0,6,4,1,0,1,1,1,1,36
11117947,11117712,1200.0,0.36675593,0.04183146,0.9003723,0.0,255,0,6,4,1,0,1,1,1,1,36
12013151,12006833,1200.0,0.36675593,0.041749667,1.1809192,0.0,255,0,6,4,1,0,1,1,1,1,36
13021005,12006833,1200.0,0.36675593,0.09229111,1.4429169,0.0,255,0,6,4,1,0,1,1,1,1,36
13045039,13042182,1200.0,0.36675593,0.09229111,1.4429169,0.0,255,0,6,4,1,0,1,1,1,1,36
14045619,13042182,1200.0,0.36675593,0.06750458,1.0959567,0.0,255,0,6,4,1,0,1,1,1,1,36
14098419,14090382,1200.0,0.36675593,0.06750458,1.0959567,0.0,255,0,6,4,1,0,1,1,1,1,36
15013146,15011742,1200.0,0.36675593,0.062751815,0.81776565,0.0,255,0,6,4,1,0,1,1,1,1,36
16016937,15011742,1200.0,0.36675593,0.020832712,1.2707955,0.0,255,0,6,4,1,0,1,1,1,1,36
16056736,16050042,1200.0,0.36675593,0.020832712,1.2707955,0.0,255,0,6,4,1,0,1,1,1,1,36
16970999,16967149,1200.0,0.36675593,0.041999873,1.1879964,0.0,255,0,6,4,1,0,1,1,1,1,36
17976131,16967149,1200.0,0.36675593,0.08365659,0.90130013,0.0,255,0,6,4,1,0,1,1,1,1,36
18040430,18040173,1200.0,0.36675593,0.08365659,0.90130013,0.0,255,0,6,4,1,0,1,1,1,1,36
19042210,18040173,1200.0,0.36675593,0.020877302,1.06176,0.0,255,0,6,4,1,0,1,1,1,1,36
19062275,19056197,1200.0,0.36675593,0.020877302,1.06176,0.0,255,0,6,4,1,0,1,1,1,1,36
20067170,19056197,1200.0,0.36675593,0.04193584,1.0833424,0.0,255,0,6,4,1,0,1,1,1,1,36
20110458,20104088,1200.0,0.36675593,0.04193584,1.0833424,0.0,255,0,6,4,1,0,1,1,1,1,36
21036667,21029167,1200.0,0.36675593,0.0626582,0.9796559,0.0,255,0,6,4,1,0,1,1,1,1,36
22004955,21999545,1200.0,0.36675593,0.026858348,0.81569797,0.0,255,0,6,4,1,0,1,1,1,1,36
22988141,22986455,1200.0,0.36675593,0.035793614,1.2865815,0.0,255,0,6,4,1,0,1,1,1,1,36
23994188,22986455,1200.0,0.36675593,0.088627934,0.9609658,0.0,255,0,6,4,1,0,1,1,1,1,36
24047426,24044416,1200.0,0.36675593,0.088627934,0.9609658,0.0,255,0,6,4,1,0,1,1,1,1,36
25054320,24044416,1200.0,0.36675593,0.041756723,1.0976053,0.0,255,0,6,4,1,0,1,1,1,1,36
25432298,25426031,1200.0,0.36675593,0.041756723,1.0976053,0.0,255,0,6,4,1,0,1,1,1,1,36
25996142,25988043,1200.0,0.36675593,0.020830667,1.1367593,0.0,255,0,6,4,1,0,1,1,1,1,36
27005145,25988043,1200.0,0.36675593,0.045593306,1.0585576,0.0,255,0,6,4,1,0,1,1,1,1,36
27048295,27042042,1200.0,0.36675593,0.045593306,1.0585576,0.0,255,0,6,4,1,0,1,1,1,1,36
