timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
3306235,4.6680174,0.0,0,0,1,0,1,0,0
3806215,4.600342,0.0,0,0,1,0,1,0,0
4306215,4.4956055,0.0,0,0,1,0,1,0,0
4816232,4.713135,0.0,0,0,1,0,1,0,0
5316215,4.6567383,0.0,0,0,1,0,1,0,0
5816215,4.6083984,0.0,0,0,1,0,1,0,0
6316222,4.6631837,0.0,0,0,1,0,1,0,0
6816215,4.5793943,0.0,0,0,1,0,1,0,0
7316215,4.5826173,0.0,0,0,1,0,1,0,0
7816230,4.5793943,0.0,0,0,1,0,1,0,0
8316215,4.5648923,0.0,0,0,1,0,1,0,0
8826215,4.7179685,0.0,0,0,1,0,1,0,0
9326215,4.6180663,0.0,0,0,1,0,1,0,0
9826235,4.6051755,0.0,0,0,1,0,1,0,0
10326215,4.51333,0.0,0,0,1,0,1,0,0
10826241,4.5375,0.0,0,0,1,0,1,0,0
11326226,4.627734,0.0,0,0,1,0,1,0,0
11826215,4.7373047,0.0,0,0,1,0,1,0,0
12326215,4.5455565,0.0,0,0,1,0,1,0,0
12826256,4.577783,0.0,0,0,1,0,1,0,0
13336215,4.6535153,0.0,0,0,1,0,1,0,0
13836215,4.630957,0.0,0,0,1,0,1,0,0
14336216,4.639014,0.0,0,0,1,0,1,0,0
14836245,4.6696286,0.0,0,0,1,0,1,0,0
16346248,4.563281,0.0,0,0,1,0,1,0,0
16846215,4.514941,0.0,0,0,1,0,1,0,0
17346253,4.627734,0.0,0,0,1,0,1,0,0
17856223,4.674463,0.0,0,0,1,0,1,0,0
18356215,4.5858397,0.0,0,0,1,0,1,0,0
18856215,4.503662,0.0,0,0,1,0,1,0,0
19356215,4.7566404,0.0,0,0,1,0,1,0,0
19856229,4.493994,0.0,0,0,1,0,1,0,0
20356215,4.553613,0.0,0,0,1,0,1,0,0
20856215,4.600342,0.0,0,0,1,0,1,0,0
21356228,4.611621,0.0,0,0,1,0,1,0,0
21866215,4.518164,0.0,0,0,1,0,1,0,0
22366215,4.5503907,0.0,0,0,1,0,1,0,0
22866246,4.5052733,0.0,0,0,1,0,1,0,0
23366225,4.6470704,0.0,0,0,1,0,1,0,0
23866241,4.572949,0.0,0,0,1,0,1,0,0
24366215,4.5342774,0.0,0,0,1,0,1,0,0
24866223,4.563281,0.0,0,0,1,0,1,0,0
25366215,4.508496,0.0,0,0,1,0,1,0,0
25876236,4.666406,0.0,0,0,1,0,1,0,0
26376238,4.6325684,0.0,0,0,1,0,1,0,0
26876215,4.6470704,0.0,0,0,1,0,1,0,0
27376215,4.542334,0.0,0,0,1,0,1,0,0
27876280,4.7211914,0.0,0,0,1,0,1,0,0
28376215,4.5745606,0.0,0,0,1,0,1,0,0
28886254,4.635791,0.0,0,0,1,0,1,0,0
29386229,4.566504,0.0,0,0,1,0,1,0,0
30886215,4.676074,0.0,0,0,1,0,1,0,0
31386225,4.6035643,0.0,0,0,1,0,1,0,0
31886215,4.498828,0.0,0,0,1,0,1,0,0
32386227,4.6535153,0.0,0,0,1,0,1,0,0
32886226,4.6180663,0.0,0,0,1,0,1,0,0
33386217,4.4859376,0.0,0,0,1,0,1,0,0
33896222,4.6470704,0.0,0,0,1,0,1,0,0
34396215,4.6696286,0.0,0,0,1,0,1,0,0
34896215,4.4214845,0.0,0,0,1,0,1,0,0
35396244,4.6631837,0.0,0,0,1,0,1,0,0
35896244,4.664795,0.0,0,0,1,0,1,0,0
36396215,4.553613,0.0,0,0,1,0,1,0,0
36906225,4.714746,0.0,0,0,1,0,1,0,0
37406215,4.6486816,0.0,0,0,1,0,1,0,0
37906215,4.4907713,0.0,0,0,1,0,1,0,0
38406231,4.576172,0.0,0,0,1,0,1,0,0
38906215,4.713135,0.0,0,0,1,0,1,0,0
39406236,4.453711,0.0,0,0,1,0,1,0,0
39916215,4.661572,0.0,0,0,1,0,1,0,0
40416215,4.6051755,0.0,0,0,1,0,1,0,0
40916215,4.6954103,0.0,0,0,1,0,1,0,0
41426226,4.6051755,0.0,0,0,1,0,1,0,0
41926232,4.572949,0.0,0,0,1,0,1,0,0
42426215,4.6583495,0.0,0,0,1,0,1,0,0
42926215,4.5648923,0.0,0,0,1,0,1,0,0
43426215,4.4472656,0.0,0,0,1,0,1,0,0
43926216,4.547168,0.0,0,0,1,0,1,0,0
44426248,4.5407224,0.0,0,0,1,0,1,0,0
44926223,4.6341796,0.0,0,0,1,0,1,0,0
45426215,4.642236,0.0,0,0,1,0,1,0,0
45936229,4.5697265,0.0,0,0,1,0,1,0,0
46436258,4.4972167,0.0,0,0,1,0,1,0,0
46936215,4.6696286,0.0,0,0,1,0,1,0,0
47436226,4.630957,0.0,0,0,1,0,1,0,0
47936253,4.5793943,0.0,0,0,1,0,1,0,0
48436253,4.676074,0.0,0,0,1,0,1,0,0
48936220,4.6454587,0.0,0,0,1,0,1,0,0
49446215,4.435986,0.0,0,0,1,0,1,0,0
50946215,4.4698243,0.0,0,0,1,0,1,0,0
51446229,4.6180663,0.0,0,0,1,0,1,0,0
51946215,4.6470704,0.0,0,0,1,0,1,0,0
52446225,4.479492,0.0,0,0,1,0,1,0,0
52946215,4.6567383,0.0,0,0,1,0,1,0,0
53456252,4.5745606,0.0,0,0,1,0,1,0,0
53956215,4.51333,0.0,0,0,1,0,1,0,0
54456215,4.6100097,0.0,0,0,1,0,1,0,0
54956236,4.764697,0.0,0,0,1,0,1,0,0
55466215,4.563281,0.0,0,0,1,0,1,0,0
55966215,4.553613,0.0,0,0,1,0,1,0,0
56466219,4.600342,0.0,0,0,1,0,1,0,0
56966215,4.6341796,0.0,0,0,1,0,1,0,0
57466232,4.56167,0.0,0,0,1,0,1,0,0
57966215,4.6535153,0.0,0,0,1,0,1,0,0
58466215,4.5552244,0.0,0,0,1,0,1,0,0
58966215,4.563281,0.0,0,0,1,0,1,0,0
59476215,4.640625,0.0,0,0,1,0,1,0,0
59976239,4.640625,0.0,0,0,1,0,1,0,0
60476215,4.6454587,0.0,0,0,1,0,1,0,0
60976215,4.5713377,0.0,0,0,1,0,1,0,0
61476254,4.701855,0.0,0,0,1,0,1,0,0
61976215,4.5987306,0.0,0,0,1,0,1,0,0
62476225,4.6535153,0.0,0,0,1,0,1,0,0
62976215,4.477881,0.0,0,0,1,0,1,0,0
63486216,4.627734,0.0,0,0,1,0,1,0,0
63986215,4.6245117,0.0,0,0,1,0,1,0,0
64486215,4.5600586,0.0,0,0,1,0,1,0,0
65986215,4.630957,0.0,0,0,1,0,1,0,0
66486233,4.5987306,0.0,0,0,1,0,1,0,0
66996215,4.7518067,0.0,0,0,1,0,1,0,0
67496215,4.674463,0.0,0,0,1,0,1,0,0
67996215,4.601953,0.0,0,0,1,0,1,0,0
68506237,4.572949,0.0,0,0,1,0,1,0,0
69006215,4.7324705,0.0,0,0,1,0,1,0,0
69506215,4.627734,0.0,0,0,1,0,1,0,0
70006225,4.676074,0.0,0,0,1,0,1,0,0
70506240,4.6921873,0.0,0,0,1,0,1,0,0
71006215,4.640625,0.0,0,0,1,0,1,0,0
71506247,4.5568357,0.0,0,0,1,0,1,0,0
72016215,4.688965,0.0,0,0,1,0,1,0,0
72516215,4.666406,0.0,0,0,1,0,1,0,0
73016215,4.4859376,0.0,0,0,1,0,1,0,0
73516215,4.7373047,0.0,0,0,1,0,1,0,0
74016215,4.6535153,0.0,0,0,1,0,1,0,0
74516228,4.7179685,0.0,0,0,1,0,1,0,0
75016257,4.621289,0.0,0,0,1,0,1,0,0
75526241,4.7324705,0.0,0,0,1,0,1,0,0
76026215,4.6937985,0.0,0,0,1,0,1,0,0
76526215,4.7066894,0.0,0,0,1,0,1,0,0
77026237,4.676074,0.0,0,0,1,0,1,0,0
77526215,4.5955076,0.0,0,0,1,0,1,0,0
78026247,4.6680174,0.0,0,0,1,0,1,0,0
78526259,4.639014,0.0,0,0,1,0,1,0,0
79026215,4.5568357,0.0,0,0,1,0,1,0,0
79526215,4.685742,0.0,0,0,1,0,1,0,0
80026219,4.6486816,0.0,0,0,1,0,1,0,0
80536215,4.680908,0.0,0,0,1,0,1,0,0
81036221,4.6841307,0.0,0,0,1,0,1,0,0
81536215,4.6245117,0.0,0,0,1,0,1,0,0
82036250,4.524609,0.0,0,0,1,0,1,0,0
82536215,4.6325684,0.0,0,0,1,0,1,0,0
84046215,4.661572,0.0,0,0,1,0,1,0,0
84546215,4.6535153,0.0,0,0,1,0,1,0,0
85046245,4.601953,0.0,0,0,1,0,1,0,0
85546215,4.6954103,0.0,0,0,1,0,1,0,0
86056215,4.713135,0.0,0,0,1,0,1,0,0
86556225,4.690576,0.0,0,0,1,0,1,0,0
87056244,4.639014,0.0,0,0,1,0,1,0,0
87556215,4.7373047,0.0,0,0,1,0,1,0,0
88056225,4.5439453,0.0,0,0,1,0,1,0,0
88556238,4.7469726,0.0,0,0,1,0,1,0,0
89056215,4.6873536,0.0,0,0,1,0,1,0,0
89556215,4.6970215,0.0,0,0,1,0,1,0,0
90066235,4.500439,0.0,0,0,1,0,1,0,0
90566255,4.714746,0.0,0,0,1,0,1,0,0
91066257,4.48916,0.0,0,0,1,0,1,0,0
91566222,4.713135,0.0,0,0,1,0,1,0,0
92066239,4.7083006,0.0,0,0,1,0,1,0,0
92566215,4.6712403,0.0,0,0,1,0,1,0,0
93066215,4.592285,0.0,0,0,1,0,1,0,0
93566241,4.614844,0.0,0,0,1,0,1,0,0
94066234,4.688965,0.0,0,0,1,0,1,0,0
94566226,4.621289,0.0,0,0,1,0,1,0,0
95076270,4.7759767,0.0,0,0,1,0,1,0,0
95576215,4.614844,0.0,0,0,1,0,1,0,0
