timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail,health_flags,timeout_flags
4501488,0.80931735,-0.053411797,0.027160369,0.58430725,0.007156068,-0.00074747147,0.04938655,0.0007031185,-6.3088315e-05,0.07069586,-8.641155e-06,1.2707876e-07,7.8742814e-05,8.083267e-08,-2.241323e-07,-1.999165e-07,0.11639,0.0012863657,0.40219882,0.0,0.0,0.0,0.0,0.0,1.1611654e-10,8.048851e-06,0.001057402,0.00035436,0.0031722393,0.0031896972,0.0006642065,0.30597848,0.3059118,0.48449355,0.031348966,0.031348158,0.1848117,6.356678e-07,6.366908e-07,5.4815064e-07,2.5550346e-06,2.555023e-06,2.5563347e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131730,0.0,0.0,0.0027602545,0.0,1.5039848e-05,0.01173393,0.0,0.0,0.0,0.024001,0,0,0,164,24,0,0,0
4512675,0.8085272,-0.053487528,0.02713749,0.5853944,0.007286232,-0.0011640514,0.05002333,0.0007484045,-0.000103640064,0.07110479,-6.7180476e-06,9.776114e-08,6.0668783e-05,6.8179e-08,-2.2331068e-07,-2.0050038e-07,0.11639,0.0012863657,0.40219882,0.0,0.0,0.0,0.0,0.0,1.15754566e-10,8.142352e-06,0.0011778306,0.0003434973,0.0031986835,0.0032163437,0.00064480363,0.31246635,0.31239447,0.48490328,0.032593917,0.032592963,0.18756871,6.355839e-07,6.366908e-07,5.407402e-07,2.5550346e-06,2.555023e-06,2.5563347e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131730,0.0,0.0,0.08075326,0.0,1.5039848e-05,0.01173393,0.0,0.0,0.0,0.024001,0,0,0,164,24,0,0,0
4712664,0.80864656,-0.053703878,0.027129307,0.5852099,0.010948499,-0.0027801653,0.027548071,0.0013528228,-0.0002970978,0.046740077,-6.8537265e-06,-3.1690697e-09,5.425828e-05,-1.1714326e-06,-1.5374279e-06,1.2048753e-05,0.11639,0.0012863657,0.40219882,0.0,0.0,0.0,0.0,0.0,1.439804e-10,8.379814e-06,0.0014128017,0.00035030418,0.0035392377,0.003558479,0.000666556,0.3048247,0.3046997,0.4187862,0.02816922,0.02816673,0.18281548,6.213367e-07,6.230112e-07,4.805026e-07,2.545311e-06,2.5452805e-06,2.5489153e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131730,0.0,0.0,0.013045358,0.0,2.873624e-05,0.013604722,0.0,0.0,0.0,0.024001,0,0,0,164,24,0,0,0
4915899,0.8094742,-0.05401889,0.026996726,0.5840417,0.014179321,-0.0033928694,0.07481331,0.0021119728,-0.0004844529,0.08717765,-9.714674e-06,-2.4131143e-07,6.047555e-05,7.219346e-07,-2.0955401e-06,-4.1758e-06,0.11639,0.0012863657,0.40219882,0.0,0.0,0.0,0.0,0.0,1.3756826e-10,8.184453e-06,0.001347978,0.00033866847,0.0035489427,0.0035684393,0.0006541763,0.3397778,0.3396168,0.34830606,0.028162774,0.028158259,0.18326394,5.839304e-07,5.8622345e-07,3.969716e-07,2.529944e-06,2.529908e-06,2.5351783e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131730,0.0,0.0,0.07419173,0.0,4.473514e-05,0.047174778,0.0,0.0,0.0,0.024001,0,0,0,164,24,0,0,0
5123863,0.80958575,-0.05398939,0.027180078,0.58388144,0.014420004,-0.0040523675,0.08684936,0.0025156524,-0.0006665504,0.10310504,-1.2651166e-05,-4.6067473e-07,5.257658e-05,5.791883e-07,-4.0470563e-06,-1.982684e-06,0.11639,0.0012863657,0.40219882,0.0,0.0,0.0,0.0,0.0,1.2181518e-10,7.936823e-06,0.0008875492,0.00032949718,0.0032026335,0.0032205898,0.0006420667,0.353006,0.35284418,0.28487864,0.030267721,0.030261843,0.18404837,5.2236066e-07,5.2499985e-07,3.1672525e-07,2.5149106e-06,2.5149482e-06,2.514187e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131730,0.0,0.0,0.09489371,0.0,5.0644358e-05,0.0019948483,0.0,0.0,0.0,0.024001,0,0,0,164,24,0,0,0
5327064,0.80828625,-0.053934984,0.027414255,0.585673,0.014037907,-0.0055766664,0.10742839,0.0024527025,-0.0008296479,0.12835474,-1.312538e-05,-2.2943766e-07,1.6232781e-05,1.1546512e-06,-5.2213427e-06,-8.8218685e-06,0.11639,0.0012863657,0.40219882,0.0,0.0,0.0,0.0,0.0,1.4613151e-10,8.181493e-06,0.0015479502,0.00033506364,0.002660865,0.002676056,0.0006545266,0.31348273,0.31336454,0.23225574,0.029093437,0.02908872,0.1767681,4.5067748e-07,4.5323202e-07,2.618923e-07,2.5057304e-06,2.505967e-06,2.4854467e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131730,0.0,0.0,0.001618364,0.0,5.207653e-05,0.025624342,0.0,0.0,0.0,0.024001,0,0,0,164,24,0,0,0
5530287,0.8099781,-0.0538568,0.027518185,0.5833333,0.012901012,-0.004708882,0.15054289,0.0024405662,-0.00082633685,0.18761168,-2.0872805e-05,-5.5773893e-07,4.787414e-05,3.6049933e-06,-5.007297e-06,-2.9609511e-05,0.11639,0.0012863657,0.40219882,0.0,0.0,0.0,0.0,0.0,1.3701454e-10,8.006185e-06,0.001466241,0.00031430286,0.0022499475,0.002263195,0.0006158351,0.27556837,0.2754713,0.19311287,0.028690131,0.028686069,0.17094757,3.823988e-07,3.8489057e-07,2.0471701e-07,2.5023091e-06,2.50286e-06,2.4488652e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131730,0.0,0.0,0.03362198,0.0,5.1869207e-05,0.002130393,0.0,0.0,0.0,0.024001,0,0,0,164,24,0,0,0
5730264,0.8115247,-0.053594105,0.027804287,0.5811905,0.01233901,-0.004791347,0.14721456,0.0023195578,-0.0008012404,0.19718815,-2.7324963e-05,-8.6309694e-07,6.990563e-05,1.9679119e-06,-6.12267e-06,-1.294354e-05,0.11639,0.0012863657,0.40219882,0.0,0.0,0.0,0.0,0.0,1.1713233e-10,7.917036e-06,0.0011119373,0.0003030354,0.0019520482,0.0019638333,0.00059671985,0.23913085,0.23905021,0.16470973,0.027207091,0.027203698,0.16323088,3.200731e-07,3.2233842e-07,1.6405664e-07,2.501428e-06,2.5023896e-06,2.4032745e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131730,0.0,0.0,0.07087647,0.0,4.905953e-05,0.018551739,0.0,0.0,0.0,0.024001,0,0,0,164,24,0,0,0
5929469,0.8115386,-0.053364832,0.02799691,0.581183,0.012609566,-0.006209117,0.16615972,0.0025324398,-0.001053322,0.23709935,-2.9926758e-05,-5.2865676e-07,6.169111e-05,2.7114816e-06,-5.540287e-06,-2.0201333e-05,0.11639,0.0012863657,0.40219882,0.0,0.0,0.0,0.0,0.0,1.3574136e-10,8.264451e-06,0.0008982507,0.00029052162,0.0018074388,0.001818534,0.0005749093,0.22763868,0.2275614,0.14872994,0.028374396,0.028370827,0.16127425,2.6924212e-07,2.7128382e-07,1.3224262e-07,2.500643e-06,2.50204e-06,2.3544042e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131730,0.0,0.0,0.0070178737,0.0,5.1484807e-05,0.014603503,0.0,0.0,0.0,0.024001,0,0,0,164,24,0,0,0
6136663,0.812251,-0.05327509,0.028135205,0.58018845,0.011105699,-0.0057215793,0.15912518,0.00247858,-0.001134469,0.24291314,-3.4220393e-05,-2.5760824e-07,6.604734e-05,-4.845723e-07,-6.4755222e-06,1.0229792e-05,0.11639,0.0012863657,0.40219882,0.0,0.0,0.0,0.0,0.0,1.256613e-10,8.151707e-06,0.0012387172,0.00026953142,0.0016305931,0.0016408561,0.00053596887,0.20903623,0.20896514,0.1354853,0.027445199,0.027441822,0.15491807,2.1750387e-07,2.1924443e-07,1.0438891e-07,2.4985216e-06,2.5004888e-06,2.2891697e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131730,0.0,0.0,0.10125922,0.0,5.0298982e-05,0.00755681,0.0,0.0,0.0,0.024001,0,0,0,164,24,0,0,0
