timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
273377125,273377125,8,44,0,0,22942,1518,1518,1419,1519,1518,1518,1518,1519,0,0,0,0,0,0,0,0,0,0,0,0,2
273584208,273584208,8,44,0,0,22942,1519,1518,1419,1518,1519,1518,1518,1518,0,0,0,0,0,0,0,0,0,0,0,0,2
273796322,273796322,8,44,0,0,22942,1518,1519,1419,1518,1518,1519,1518,1518,0,0,0,0,0,0,0,0,0,0,0,0,2
273983260,273983260,8,44,0,0,22941,1518,1519,1419,1518,1519,1518,1518,1518,0,0,0,0,0,0,0,0,0,0,0,0,2
274190751,274190751,8,44,0,0,22942,1519,1518,1419,1518,1519,1518,1518,1518,0,0,0,0,0,0,0,0,0,0,0,0,2
274406734,274406734,8,44,0,0,22942,1518,1518,1419,1519,1518,1518,1518,1519,0,0,0,0,0,0,0,0,0,0,0,0,2
274609942,274609942,8,44,0,0,22942,1518,1518,1420,1518,1518,1518,1519,1518,0,0,0,0,0,0,0,0,0,0,0,0,2
274800379,274800379,8,44,0,0,22942,1518,1519,1419,1518,1518,1519,1518,1518,0,0,0,0,0,0,0,0,0,0,0,0,2
275009211,275009211,8,44,0,0,22941,1518,1519,1419,1518,1518,1519,1518,1518,0,0,0,0,0,0,0,0,0,0,0,0,2
275196111,275196111,8,44,0,0,22942,1518,1519,1419,1518,1518,1519,1518,1518,0,0,0,0,0,0,0,0,0,0,0,0,2
275419581,275419581,8,44,0,0,22942,1518,1518,1419,1519,1518,1518,1519,1518,0,0,0,0,0,0,0,0,0,0,0,0,2
275623589,275623589,8,44,0,0,22942,1518,1518,1419,1519,1518,1518,1518,1519,0,0,0,0,0,0,0,0,0,0,0,0,2
275810528,275810528,8,44,0,0,22942,1518,1518,1420,1518,1518,1518,1519,1518,0,0,0,0,0,0,0,0,0,0,0,0,2
276021738,276021738,8,44,0,0,22917,1289,1707,1420,1518,1518,1518,1519,1518,0,0,0,0,0,0,0,0,0,0,0,0,2
276213956,276213956,8,44,0,0,22941,1519,1518,1419,1518,1519,1518,1518,1518,0,0,0,0,0,0,0,0,0,0,0,0,2
276429184,276429184,8,44,0,0,22940,1305,1726,1419,1518,1519,1518,1518,1518,0,0,0,0,0,0,0,0,0,0,0,0,2
276632337,276632337,8,44,0,0,22942,1518,1518,1420,1518,1518,1518,1519,1518,0,0,0,0,0,0,0,0,0,0,0,0,2
