timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
273391065,0.006993679,-0.0025961571,-0.0018319797,0.92628473,-0.040081773,0.049594406,0.3713899,0.99829745,-0.005564258,-0.00022398953,0.058062054,3
273395072,0.013424503,-0.0029935618,-0.0026353938,0.9262881,-0.040055957,0.049598616,0.37138367,0.99829745,-0.005564258,-0.00022398953,0.058062054,3
273399083,0.015366906,-0.00035211595,-0.0031581805,0.9262919,-0.040028535,0.04960915,0.37137607,0.99829745,-0.005564258,-0.00022398953,0.058062054,3
273403074,-0.0005076104,-0.00062947255,-0.00233835,0.9262938,-0.04003022,0.049607426,0.37137106,0.99829745,-0.005564258,-0.00022398953,0.058062054,3
273407104,-0.0059172832,-0.0036597284,-0.0031654376,0.9262964,-0.040039912,0.04959592,0.3713653,0.99829745,-0.005564258,-0.00022398953,0.058062054,3
273411091,-0.00035111792,0.0012208951,-0.0018015106,0.9262978,-0.040042587,0.049597774,0.37136114,0.99829745,-0.005564258,-0.00022398953,0.058062054,3
273415071,0.0039623315,0.002371407,0.0010470273,0.92629737,-0.040037867,0.049605172,0.37136173,0.99829745,-0.005564258,-0.00022398953,0.058062054,3
273419065,0.009189888,0.00017382856,-0.0018069411,0.9262997,-0.04002211,0.049612172,0.3713567,0.99829745,-0.005564258,-0.00022398953,0.058062054,3
273423069,0.003276941,0.0066163284,-0.0030283467,0.92630184,-0.040022217,0.04962664,0.37134945,0.99829745,-0.005564258,-0.00022398953,0.058062054,3
273427077,-0.005364656,0.0003901805,-0.002974215,0.92630386,-0.040033717,0.04962315,0.37134364,0.99829745,-0.005564258,-0.00022398953,0.058062054,3
273431076,-0.01380763,0.004757615,-0.0009630419,0.92630327,-0.04006385,0.04962165,0.37134206,0.99829745,-0.005564258,-0.00022398953,0.058062054,3
273435064,0.0061341505,0.00096988387,0.0010044373,0.9263032,-0.040054023,0.049628083,0.37134245,0.99829745,-0.005564258,-0.00022398953,0.058062054,3
273439064,0.010087903,0.0013708851,-0.00040831516,0.92630446,-0.040037308,0.049638096,0.3713398,0.99829745,-0.005564258,-0.00022398953,0.058062054,3
273443093,0.017552694,-0.0014069788,0.00029305444,0.92630607,-0.040004414,0.04964863,0.3713379,0.99829745,-0.005564258,-0.00022398953,0.058062054,3
273447107,-0.004124175,0.0031085054,-0.00082049944,0.9263063,-0.040015385,0.049651284,0.37133574,0.99829745,-0.005564258,-0.00022398953,0.058062054,3
273451065,-0.008700563,-0.0010327714,0.00059200823,0.92630553,-0.040031288,0.049643084,0.371337,0.99829745,-0.005564258,-0.00022398953,0.058062054,3
273455066,-0.009222401,0.0016947568,0.0010906942,0.9263041,-0.04005041,0.049639482,0.37133902,0.99829745,-0.005564258,-0.00022398953,0.058062054,3
273459065,-0.0017182264,-0.0019319982,0.00042029363,0.9263041,-0.04005299,0.049634684,0.37133935,0.99829745,-0.005564258,-0.00022398953,0.058062054,3
273463097,0.0030265136,-0.0037127712,0.00075160793,0.92630446,-0.040045418,0.04963009,0.37133995,0.99829745,-0.005564258,-0.00022398953,0.058062054,3
273467107,-0.001221614,0.0037997975,0.0019776963,0.9263027,-0.04005119,0.049636405,0.3713429,0.99829745,-0.005564258,-0.00022398953,0.058062054,3
273471069,-0.013830456,0.00096351875,0.001316278,0.92630076,-0.040077917,0.04962814,0.37134612,0.99829745,-0.005564258,-0.00022398953,0.058062054,3
273475064,-0.022462467,0.0022312258,0.0033510085,0.9262963,-0.04012164,0.049615882,0.3713538,0.99829745,-0.005564258,-0.00022398953,0.058062054,3
