timestamp,rollspeed,pitchspeed,yawspeed,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
273391183,-0.0071423906,0.00047537044,-0.0019332215,0.0,0.0,0.0,0.0
273395154,-0.001751434,-0.0002583915,-0.0019103899,0.0,0.0,0.0,0.0
273399203,0.0062388587,-0.0014876615,-0.0023934222,0.0,0.0,0.0,0.0
273403155,0.009201005,-0.00060498394,-0.002604845,0.0,0.0,0.0,0.0
273407184,0.006488916,-0.0016711988,-0.0027560554,0.0,0.0,0.0,0.0
273411175,0.0010406147,-0.0012500669,-0.0027745473,0.0,0.0,0.0,0.0
273415168,0.00044105528,-0.00061013026,-0.0018326906,0.0,0.0,0.0,0.0
273419183,0.0021216322,0.0003228354,-0.001247172,0.0,0.0,0.0,0.0
273423153,0.0047089425,0.0012523194,-0.0012324571,0.0,0.0,0.0,0.0
273427156,0.0027059994,0.0026800912,-0.0019579402,0.0,0.0,0.0,0.0
273431159,-0.0020749033,0.0028314353,-0.002266821,0.0,0.0,0.0,0.0
273435143,-0.0044688205,0.0032465942,-0.0014393417,0.0,0.0,0.0,0.0
273439181,-0.0014223056,0.0029178383,-0.00044083962,0.0,0.0,0.0,0.0
273443182,0.0053712265,0.0014002213,7.3105504e-05,0.0,0.0,0.0,0.0
273447190,0.008480776,0.0013911091,-2.1890504e-05,0.0,0.0,0.0,0.0
273451145,0.004760522,0.00055652077,-6.6665176e-05,0.0,0.0,0.0,0.0
273455178,-0.0023950096,0.0006830683,0.00031771063,0.0,0.0,0.0,0.0
273459187,-0.00497244,-0.00011030049,0.0005537553,0.0,0.0,0.0,0.0
273463177,-0.004141608,-0.0009479157,0.0005185921,0.0,0.0,0.0,0.0
273467197,-0.0013913387,-0.0014241025,0.0009591581,0.0,0.0,0.0,0.0
273471156,-0.0036052372,0.0004813472,0.0012184612,0.0,0.0,0.0,0.0
273475180,-0.0087662125,0.0009905306,0.0015868789,0.0,0.0,0.0,0.0
273479145,-0.012590036,0.0017941357,0.002566394,0.0,0.0,0.0,0.0
273483171,-0.009545328,0.0017077683,0.003917965,0.0,0.0,0.0,0.0
273487193,-0.002231218,0.0012540483,0.00450184,0.0,0.0,0.0,0.0
273491159,0.0032999294,0.0011996819,0.0043234294,0.0,0.0,0.0,0.0
